dataset,model,prediction,cp,rc,rs3,rs5,bb,bbs_05,bbs_1,bbs_2
CVC,vit-h,0,0.7156499307,0.7629908303,0.860588043,0.8804379742,0.8894611416,0.8806188532,0.8348520648,0.7022347147
CVC,vit-h,1,0.5539697166,0.5438158808,0.6415027423,0.7542846925,0.9261244773,0.9237353651,0.9159033681,0.8440923437
CVC,vit-h,2,0.2323225352,0.2235580153,0.2237145959,0.245236911,0.924428259,0.9224192728,0.9175824836,0.8675355978
CVC,vit-l,0,0.4978900236,0.4820819432,0.5078186015,0.5221306157,0.9204874778,0.9181670367,0.9057266294,0.8528487185
CVC,vit-l,1,0.702237282,0.7275568858,0.8360149707,0.8413829644,0.8729729208,0.8669699806,0.8179187956,0.6721239989
CVC,vit-l,2,0.2290518362,0.221661494,0.2171654928,0.2229532164,0.9087164913,0.9036279785,0.8700494466,0.7732228934
CVC,vit-b,0,0.2336464171,0.225008679,0.2222392463,0.2261813799,0.9195014712,0.9161437109,0.9062048768,0.8334574056
CVC,vit-b,1,0.4472470066,0.4401781547,0.494948472,0.5095000573,0.9071611417,0.9064209311,0.8918309482,0.7961543827
CVC,vit-b,2,0.644354575,0.6880159901,0.7775409336,0.7834702866,0.8206551442,0.8097932276,0.7576434132,0.5849402992
CXRkaggle,vit-h,0,0.9042090905,0.8625845774,0.9229377055,0.926827186,0.9357202434,0.9337623272,0.9108253422,0.6864043086
CXRkaggle,vit-h,1,0.7583753188,0.7273060341,0.7661042977,0.8277687273,0.9415687458,0.9387038263,0.9285762464,0.8264223075
CXRkaggle,vit-h,2,0.4711895018,0.4686037811,0.4818960764,0.5135874166,0.9352918359,0.9298756064,0.9126548067,0.802634104
CXRkaggle,vit-l,0,0.8344913423,0.8140500585,0.7863233875,0.7763861663,0.931718007,0.9294166682,0.9162758165,0.8048614999
CXRkaggle,vit-l,1,0.9145459971,0.8700966378,0.9298280351,0.9288651351,0.9401360706,0.9361842357,0.9061923832,0.6601968923
CXRkaggle,vit-l,2,0.4722687978,0.4711524686,0.4678532131,0.4738150387,0.945400203,0.9420542307,0.9283423479,0.7583882568
