,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
0,,[0.320698618888855],[0.5187231302261353],[0.6370065808296204],[0.32030847668647766],[0.3582572042942047],[0.7512197494506836],[0.3210330307483673],[0.3726767301559448],[0.7962474226951599],[0.3199625611305237],[0.7893485426902771],[0.3142598271369934],[0.7951885461807251],[0.6947464942932129],[0.4112360179424286],[0.7952325344085693],[0.7342944741249084],[0.40412473678588867],[0.7937570810317993],[0.7851223349571228],[0.39165377616882324],[0.794788122177124],[0.7908011674880981],[0.6446443200111389]
1,,[0.3688633441925049],[0.36748582124710083],[0.9011061191558838],[0.3680802285671234],[0.37890884280204773],[0.9524264931678772],[0.3682113587856293],[0.36786967515945435],[0.9525934457778931],[0.3696402609348297],[0.8816024661064148],[0.0029402156360447407],[0.942861795425415],[0.9147899746894836],[0.8934982419013977],[0.9451248049736023],[0.9138063192367554],[0.8901668190956116],[0.9437455534934998],[0.915073812007904],[0.8865613341331482],[0.8920381665229797],[0.8589417338371277],[0.6023043990135193]
2,,[0.18454337120056152],[0.2695308029651642],[0.953806459903717],[0.1864619255065918],[0.7152083516120911],[0.9504821300506592],[0.1852865219116211],[0.2876453995704651],[0.9485722780227661],[0.3916746973991394],[0.7104618549346924],[0.0889948382973671],[0.9481574892997742],[0.9499176144599915],[0.9406599998474121],[0.9446267485618591],[0.9449875354766846],[0.9461521506309509],[0.9510599970817566],[0.9353058338165283],[0.8878325819969177],[0.7216367125511169],[0.6861513257026672],[0.11115409433841705]
3,,[0.2030872404575348],[0.4096176326274872],[0.9669350981712341],[0.20593126118183136],[0.45974472165107727],[0.9654311537742615],[0.21142904460430145],[0.46005213260650635],[0.9632362723350525],[0.20101600885391235],[0.3895769417285919],[0.9647600054740906],[0.9702699184417725],[0.9668264985084534],[0.9537418484687805],[0.970367968082428],[0.9663512110710144],[0.9540382623672485],[0.9694875478744507],[0.9661651849746704],[0.9510797262191772],[0.9689610600471497],[0.9675983786582947],[0.95509934425354]
4,,[0.19946591556072235],[0.8020668625831604],[0.25981295108795166],[0.2002890408039093],[0.44307565689086914],[0.9645791053771973],[0.20206394791603088],[0.6312021017074585],[0.9646023511886597],[0.2004658430814743],[0.3787190318107605],[0.9643514752388],[0.9670717120170593],[0.9626408219337463],[0.9492521286010742],[0.9667930603027344],[0.9624307751655579],[0.9482412934303284],[0.9666405320167542],[0.9629629850387573],[0.9487402439117432],[0.9013534188270569],[0.8462329506874084],[0.7549532651901245]
5,,[0.2373323291540146],[0.41157329082489014],[0.9708654284477234],[0.2533838450908661],[0.9747331142425537],[0.9653373956680298],[0.2538605034351349],[0.972481906414032],[0.9676406979560852],[0.2374752312898636],[0.5656864643096924],[0.970596194267273],[0.9782446622848511],[0.9727433919906616],[0.9618943929672241],[0.9791289567947388],[0.9740726947784424],[0.9658203125],[0.9614840745925903],[0.9468855261802673],[0.913604199886322],[0.9534781575202942],[0.9285754561424255],[0.8868089914321899]
6,,[0.28668269515037537],[0.2881167531013489],[0.7707505226135254],[0.28857046365737915],[0.352719247341156],[0.8075981736183167],[0.29033568501472473],[0.3562876582145691],[0.8841163516044617],[0.3848113715648651],[0.07260055094957352],[0.06881501525640488],[0.9465743899345398],[0.9468909502029419],[0.8930807709693909],[0.9466343522071838],[0.9497079849243164],[0.8497200012207031],[0.946194052696228],[0.9528344869613647],[0.8844660520553589],[0.9093872308731079],[0.8912635445594788],[0.6154002547264099]
7,,[0.3386871814727783],[0.36631858348846436],[0.5073028206825256],[0.33919161558151245],[0.38645192980766296],[0.4921983480453491],[0.3408648669719696],[0.390215128660202],[0.9037007093429565],[0.3386871814727783],[0.37266403436660767],[0.6095755100250244],[0.9573930501937866],[0.9586082696914673],[0.939568042755127],[0.956981360912323],[0.957809567451477],[0.922601044178009],[0.8842063546180725],[0.923018753528595],[0.9313322901725769],[0.8511996269226074],[0.004813692066818476],[0.004063065629452467]
8,,[0.3095361590385437],[0.642666220664978],[0.6134517192840576],[0.30593642592430115],[0.32507869601249695],[0.897617518901825],[0.3060343861579895],[0.3178161084651947],[0.8977502584457397],[0.3062748908996582],[0.8043091297149658],[0.6237809658050537],[0.9278566837310791],[0.9209708571434021],[0.8397390246391296],[0.9259021878242493],[0.9216750264167786],[0.8292534947395325],[0.8069527745246887],[0.7092682719230652],[0.41611790657043457],[0.7570438385009766],[0.06165572628378868],[0.06282898783683777]
9,,[0.41444188356399536],[0.4170055687427521],[0.35899248719215393],[0.4148704409599304],[0.4194793105125427],[0.8249210119247437],[0.4150867760181427],[0.4188791811466217],[0.7450096607208252],[0.41440126299858093],[0.4157971441745758],[0.8225082159042358],[0.9294530153274536],[0.9462153911590576],[0.9133241176605225],[0.9053943157196045],[0.9429780840873718],[0.9075478315353394],[0.7904013395309448],[0.8649622201919556],[0.8703717589378357],[0.7488511800765991],[0.7801445722579956],[0.7331318855285645]
10,,[0.9323727488517761],[0.009154929779469967],[0.0074510397389531136],[0.3987184464931488],[0.40592101216316223],[0.9373116493225098],[0.3992236256599426],[0.44472694396972656],[0.9623188376426697],[0.39830052852630615],[0.40980595350265503],[0.9268194437026978],[0.9729715585708618],[0.9567176699638367],[0.9044849276542664],[0.9717720150947571],[0.9477218985557556],[0.8935104012489319],[0.8962661623954773],[0.9396124482154846],[0.9481720328330994],[0.9014559984207153],[0.9302676916122437],[0.20073461532592773]
