,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
0,,[0.5453178286552429],[0.7876797914505005],[0.32042378187179565],[0.7753417491912842],[0.7939167022705078],[0.3207322359085083],[0.615868866443634],[0.7895606160163879],[0.3220006227493286],[0.33491671085357666],[0.7919892072677612],[0.3220999538898468],[0.5552144646644592],[0.7044991850852966],[0.7897725701332092],[0.5229588150978088],[0.7380585670471191],[0.790770947933197],[0.5906310081481934],[0.7867676615715027],[0.7921597957611084],[0.5395848155021667],[0.7881960868835449],[0.7917582392692566]
1,,[0.4921080470085144],[0.367210328578949],[0.3666670024394989],[0.8387341499328613],[0.5438642501831055],[0.3663087487220764],[0.8371636867523193],[0.8241577744483948],[0.364253968000412],[0.0058717988431453705],[0.8271214365959167],[0.3665017783641815],[0.8675523400306702],[0.9108142256736755],[0.9388707876205444],[0.8677777647972107],[0.900823712348938],[0.9362244009971619],[0.8895264267921448],[0.9295471906661987],[0.9580185413360596],[0.022685233503580093],[0.8830381035804749],[0.9217953681945801]
2,,[0.9531933069229126],[0.27857494354248047],[0.18558292090892792],[0.9397342801094055],[0.9550078511238098],[0.18504270911216736],[0.9225830435752869],[0.9558643698692322],[0.18549464643001556],[0.12011463940143585],[0.9495864510536194],[0.1847134530544281],[0.9514478445053101],[0.9546893239021301],[0.9561877846717834],[0.9490835070610046],[0.9544996619224548],[0.9554938673973083],[0.9260995984077454],[0.9513843655586243],[0.9610464572906494],[0.9075083136558533],[0.9493228197097778],[0.960938036441803]
3,,[0.9714919328689575],[0.5942673683166504],[0.19992847740650177],[0.9724030494689941],[0.39094290137290955],[0.19882135093212128],[0.9666008949279785],[0.9717786908149719],[0.21010534465312958],[0.9718273282051086],[0.6774498820304871],[0.198942631483078],[0.9682456254959106],[0.971137523651123],[0.9711694121360779],[0.9686557650566101],[0.9715442061424255],[0.9714396595954895],[0.9681060314178467],[0.9708014726638794],[0.9712398052215576],[0.969284176826477],[0.9722620248794556],[0.971631646156311]
4,,[0.9676406979560852],[0.6747074723243713],[0.19948874413967133],[0.9679738283157349],[0.4977591633796692],[0.19958007335662842],[0.9659068584442139],[0.9683618545532227],[0.20366215705871582],[0.9675435423851013],[0.5975690484046936],[0.19941774010658264],[0.9651315808296204],[0.9672346115112305],[0.9695153832435608],[0.9653947353363037],[0.9672936797142029],[0.9693139791488647],[0.964586615562439],[0.9672303199768066],[0.9693179726600647],[0.9603384733200073],[0.9669421315193176],[0.969369113445282]
5,,[0.0289432592689991],[0.4742101728916168],[0.9826276302337646],[0.9731159806251526],[0.9780520796775818],[0.24008622765541077],[0.974731981754303],[0.9792793393135071],[0.25436946749687195],[0.9799497127532959],[0.37247952818870544],[0.23653173446655273],[0.9698938727378845],[0.9770089983940125],[0.980364978313446],[0.9694441556930542],[0.9772312045097351],[0.9807497262954712],[0.9621261954307556],[0.9766267538070679],[0.9805281162261963],[0.5666061043739319],[0.8327800035476685],[0.8554434180259705]
6,,[0.5218954086303711],[0.8056702017784119],[0.2885025143623352],[0.9528087973594666],[0.7924944162368774],[0.28806179761886597],[0.9548474550247192],[0.8049446940422058],[0.29858115315437317],[0.06811235845088959],[0.8191977739334106],[0.3147274851799011],[0.9468157887458801],[0.9553815722465515],[0.949490487575531],[0.9501022100448608],[0.9539864659309387],[0.9213314652442932],[0.9376423954963684],[0.9551845788955688],[0.9512122869491577],[0.5380051732063293],[0.8622974753379822],[0.87229984998703]
7,,[0.8505140542984009],[0.44193321466445923],[0.33909961581230164],[0.8542121052742004],[0.4806536138057709],[0.339237779378891],[0.9225500822067261],[0.6146262288093567],[0.34481871128082275],[0.8499176502227783],[0.538173496723175],[0.33917415142059326],[0.9477121829986572],[0.95693039894104],[0.961815357208252],[0.9429948925971985],[0.9573373794555664],[0.9472659826278687],[0.009530859999358654],[0.8923032879829407],[0.8705625534057617],[0.8570875525474548],[0.8338961005210876],[0.8420000672340393]
8,,[0.576969563961029],[0.7814370393753052],[0.3055161237716675],[0.9002993106842041],[0.35550934076309204],[0.30451542139053345],[0.9245547652244568],[0.8752102255821228],[0.3073959946632385],[0.6016631722450256],[0.8357433080673218],[0.3050999343395233],[0.40263867378234863],[0.9095855355262756],[0.9158458709716797],[0.3797162175178528],[0.900255560874939],[0.8623836040496826],[0.6225540637969971],[0.8902179598808289],[0.9042656421661377],[0.06060606241226196],[0.05986864119768143],[0.4379182755947113]
9,,[0.7972524166107178],[0.9279358983039856],[0.41525396704673767],[0.9549148082733154],[0.9130992889404297],[0.4152998924255371],[0.9570221900939941],[0.9191216230392456],[0.4153165817260742],[0.9555174112319946],[0.8607242107391357],[0.4150829613208771],[0.9452410936355591],[0.9630510210990906],[0.966823935508728],[0.9476000666618347],[0.9639401435852051],[0.9667479991912842],[0.8213285803794861],[0.9268391132354736],[0.9520522952079773],[0.9536921381950378],[0.9645277261734009],[0.9230279922485352]
