,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
0,,[0.4096066951751709],[0.562479555606842],[0.32033857703208923],[0.5194399952888489],[0.7517353296279907],[0.3194480836391449],[0.3869805932044983],[0.7239078879356384],[0.32074466347694397],[0.4966193437576294],[0.3317009210586548],[0.32020285725593567],[0.7541912198066711],[0.5345005393028259],[0.38924676179885864],[0.7523792386054993],[0.5508896112442017],[0.3856550455093384],[0.7927231192588806],[0.5477905869483948],[0.6425144076347351],[0.7149112224578857],[0.3800140619277954],[0.39263609051704407]
1,,[0.4613054394721985],[0.076485276222229],[0.368640661239624],[0.3665880858898163],[0.8877535462379456],[0.3671894371509552],[0.3766409456729889],[0.9093009233474731],[0.3668796718120575],[0.839276134967804],[0.003375068074092269],[0.3663669228553772],[0.9631673693656921],[0.9048850536346436],[0.9273934960365295],[0.9667261242866516],[0.911646842956543],[0.9306684136390686],[0.9351552128791809],[0.9157724380493164],[0.952794075012207],[0.8173846006393433],[0.7209261655807495],[0.7628844976425171]
2,,[0.9608969688415527],[0.9459084868431091],[0.18414537608623505],[0.9489935636520386],[0.5039353966712952],[0.18563783168792725],[0.9500430822372437],[0.9433218836784363],[0.18554474413394928],[0.25648415088653564],[0.09051210433244705],[0.20459668338298798],[0.9489853978157043],[0.9378772377967834],[0.9515615701675415],[0.9476234316825867],[0.9399926662445068],[0.9513497948646545],[0.9488781690597534],[0.9444119334220886],[0.95029217004776],[0.9361545443534851],[0.8219446539878845],[0.8992295265197754]
3,,[0.7183496356010437],[0.9676742553710938],[0.19838544726371765],[0.27478647232055664],[0.968872606754303],[0.19843070209026337],[0.9696177840232849],[0.9643139243125916],[0.19935543835163116],[0.6518822312355042],[0.9678138494491577],[0.19839298725128174],[0.9706534743309021],[0.9628701210021973],[0.9686927199363708],[0.9704635739326477],[0.9630752801895142],[0.9689709544181824],[0.9702066779136658],[0.9539035558700562],[0.9657484889030457],[0.9198045134544373],[0.8312677145004272],[0.9364271759986877]
4,,[0.9640581011772156],[0.02094372920691967],[0.19943295419216156],[0.4300525486469269],[0.9653315544128418],[0.1990887075662613],[0.9683015942573547],[0.966023862361908],[0.20027577877044678],[0.2613518536090851],[0.964701235294342],[0.198816180229187],[0.96696537733078],[0.9620771408081055],[0.965123176574707],[0.9664833545684814],[0.9611849784851074],[0.9646919369697571],[0.9672399163246155],[0.9629727602005005],[0.9655353426933289],[0.9639900326728821],[0.8514126539230347],[0.9580211043357849]
5,,[0.0999598577618599],[0.02935359627008438],[0.9814883470535278],[0.32964736223220825],[0.9764920473098755],[0.23556053638458252],[0.9731507301330566],[0.9727047085762024],[0.25139427185058594],[0.2875761389732361],[0.9704769253730774],[0.2348475456237793],[0.9789350032806396],[0.9665471911430359],[0.9706963896751404],[0.978985071182251],[0.9660454988479614],[0.9705293774604797],[0.9777134656906128],[0.9592115879058838],[0.9677104353904724],[0.9794871807098389],[0.9676194787025452],[0.9706565737724304]
6,,[0.28776147961616516],[0.700583279132843],[0.28523656725883484],[0.672340452671051],[0.8229228854179382],[0.2874002456665039],[0.42345455288887024],[0.7779954671859741],[0.2889275848865509],[0.7943703532218933],[0.06754986196756363],[0.2875489890575409],[0.9333959221839905],[0.9387660622596741],[0.9486550688743591],[0.9326840043067932],[0.9390827417373657],[0.9473762512207031],[0.9324482083320618],[0.9097753167152405],[0.945509672164917],[0.9188134074211121],[0.949079155921936],[0.9407517910003662]
7,,[0.4612996280193329],[0.8244893550872803],[0.3384421467781067],[0.4409630596637726],[0.7717911005020142],[0.33877894282341003],[0.4267418384552002],[0.749335765838623],[0.33935269713401794],[0.44055232405662537],[0.8095730543136597],[0.33851158618927],[0.9548600912094116],[0.9352467656135559],[0.9422385096549988],[0.9532581567764282],[0.9331039786338806],[0.9435586333274841],[0.9566852450370789],[0.9329531788825989],[0.9506613612174988],[0.7741572856903076],[0.7718155384063721],[0.7768780589103699]
8,,[0.838607668876648],[0.5753743052482605],[0.3051566481590271],[0.501122772693634],[0.6190968155860901],[0.3047619163990021],[0.3071373701095581],[0.5514246225357056],[0.30502429604530334],[0.7804467678070068],[0.5718548893928528],[0.3050554692745209],[0.9380236864089966],[0.5854305624961853],[0.9001151919364929],[0.9330392479896545],[0.5972862839698792],[0.9066864848136902],[0.7355782389640808],[0.050397492945194244],[0.6050028800964355],[0.7637491226196289],[0.45699408650398254],[0.6153151392936707]
9,,[0.41514134407043457],[0.8130163550376892],[0.41163814067840576],[0.7276259660720825],[0.8061110973358154],[0.4147871434688568],[0.415391743183136],[0.8056653141975403],[0.4157678782939911],[0.6236171126365662],[0.808539628982544],[0.4143504500389099],[0.9458134770393372],[0.8925538659095764],[0.9281219840049744],[0.950481116771698],[0.8932980895042419],[0.9251881241798401],[0.9299981594085693],[0.855290412902832],[0.9185378551483154],[0.8473210334777832],[0.6434389352798462],[0.732383668422699]
