,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
0,,[0.4230865240097046],[0.5600053668022156],[0.897304356098175],[0.42428579926490784],[0.7261293530464172],[0.9073951244354248],[0.4297146201133728],[0.7242782115936279],[0.8896511793136597],[0.4236682951450348],[0.7592318654060364],[0.838054895401001],[0.9189929366111755],[0.8973209261894226],[0.8450813293457031],[0.9260280132293701],[0.8945860862731934],[0.8450945019721985],[0.8940863609313965],[0.8914209008216858],[0.8416147232055664],[0.7694568037986755],[0.7516480684280396],[0.49486470222473145]
1,,[0.4118831753730774],[0.7768993377685547],[0.8254737257957458],[0.4120001494884491],[0.7840436697006226],[0.8848437070846558],[0.4206809401512146],[0.7511629462242126],[0.8947980403900146],[0.4108644425868988],[0.8086037039756775],[0.5084611773490906],[0.8910177946090698],[0.8755683302879333],[0.8519461154937744],[0.884519100189209],[0.8723897337913513],[0.8503991365432739],[0.8779425621032715],[0.8707262873649597],[0.4727621078491211],[0.8761225938796997],[0.8421226143836975],[0.7611013054847717]
2,,[0.47058865427970886],[0.7998960018157959],[0.9104778170585632],[0.4740312099456787],[0.6919366121292114],[0.9400676488876343],[0.47310569882392883],[0.7368711829185486],[0.9385274052619934],[0.4709729552268982],[0.8357208371162415],[0.8944792747497559],[0.9486483335494995],[0.9183737635612488],[0.8802623152732849],[0.9437806606292725],[0.8956159353256226],[0.8738601207733154],[0.929688036441803],[0.889298141002655],[0.872334361076355],[0.856877326965332],[0.8699650168418884],[0.47547054290771484]
3,,[0.42775341868400574],[0.7432255148887634],[0.9223480224609375],[0.42878445982933044],[0.5912283658981323],[0.9452242851257324],[0.4322967231273651],[0.7528441548347473],[0.9413997530937195],[0.4277573823928833],[0.7203690409660339],[0.9044824838638306],[0.9032785296440125],[0.93170565366745],[0.9032431244850159],[0.8730887770652771],[0.921221137046814],[0.9028288125991821],[0.7780760526657104],[0.7371705770492554],[0.8794491291046143],[0.7799381017684937],[0.4879416227340698],[0.483542263507843]
4,,[0.46136945486068726],[0.6694616675376892],[0.8837056756019592],[0.46298426389694214],[0.6883300542831421],[0.8793326020240784],[0.5135633945465088],[0.7104229927062988],[0.9235268235206604],[0.46168455481529236],[0.7023295760154724],[0.528736412525177],[0.8974051475524902],[0.8987754583358765],[0.8687108755111694],[0.8839535117149353],[0.8941044211387634],[0.8955278396606445],[0.8811967372894287],[0.8882264494895935],[0.8978791832923889],[0.79430091381073],[0.8737046718597412],[0.9173574447631836]
5,,[0.4321414530277252],[0.8196799755096436],[0.9043072462081909],[0.4374355375766754],[0.8016111850738525],[0.9220166802406311],[0.5084837675094604],[0.8467840552330017],[0.9141353964805603],[0.43258073925971985],[0.8381683826446533],[0.88280189037323],[0.9482774138450623],[0.9266056418418884],[0.9140052795410156],[0.9443627595901489],[0.927829384803772],[0.9146161079406738],[0.9154036045074463],[0.9192154407501221],[0.5069986581802368],[0.7482919096946716],[0.9177386164665222],[0.030491705983877182]
6,,[0.5466275215148926],[0.6366099715232849],[0.9110760688781738],[0.551801860332489],[0.744987428188324],[0.8336488008499146],[0.5718110203742981],[0.743300199508667],[0.9374457001686096],[0.5482420325279236],[0.7710835337638855],[0.7813298106193542],[0.9139323830604553],[0.9243649840354919],[0.7272354960441589],[0.9022177457809448],[0.9282410740852356],[0.5297020673751831],[0.8580020070075989],[0.9005788564682007],[0.5408458709716797],[0.7893957495689392],[0.8185274004936218],[0.7479828000068665]
7,,[0.3134908378124237],[0.8577015995979309],[0.9577895998954773],[0.31774434447288513],[0.7629331946372986],[0.9554280638694763],[0.3731438219547272],[0.9187651872634888],[0.9351887106895447],[0.31413406133651733],[0.9132339358329773],[0.9559495449066162],[0.9535748362541199],[0.9585001468658447],[0.9450129270553589],[0.9525868892669678],[0.9594947099685669],[0.950394868850708],[0.9501214623451233],[0.9582874774932861],[0.9494039416313171],[0.8287813663482666],[0.8884308338165283],[0.6492695808410645]
8,,[0.3752182722091675],[0.8551501035690308],[0.8885786533355713],[0.37594908475875854],[0.8702059984207153],[0.8897414207458496],[0.3958211839199066],[0.8647693991661072],[0.8651626110076904],[0.37098556756973267],[0.8885546326637268],[0.8702215552330017],[0.922505259513855],[0.8953478336334229],[0.8798426389694214],[0.9200681447982788],[0.8959749937057495],[0.8826943039894104],[0.8849679231643677],[0.8928644061088562],[0.8799356818199158],[0.7908841967582703],[0.8098223209381104],[0.4374982714653015]
9,,[0.30306029319763184],[0.792746365070343],[0.8990628123283386],[0.3029991090297699],[0.8345441222190857],[0.9419920444488525],[0.3247082233428955],[0.8782970905303955],[0.9439884424209595],[0.29657870531082153],[0.7238982915878296],[0.9375725388526917],[0.946015477180481],[0.9503452777862549],[0.9170036911964417],[0.9501370191574097],[0.9442576766014099],[0.6779943108558655],[0.9276986122131348],[0.9281668066978455],[0.9101300239562988],[0.9154058694839478],[0.9200343489646912],[0.9041610956192017]
