,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
0,,[0.8645193576812744],[0.5406195521354675],[0.42408862709999084],[0.7412785887718201],[0.5469786524772644],[0.42439568042755127],[0.7641364932060242],[0.5436791181564331],[0.42458704113960266],[0.8486835956573486],[0.5499142408370972],[0.4242529571056366],[0.8481429815292358],[0.9210523962974548],[0.9375739693641663],[0.8549540638923645],[0.9294740557670593],[0.9280296564102173],[0.849542498588562],[0.9128897190093994],[0.8533524870872498],[0.8317585587501526],[0.6906862854957581],[0.7196047306060791]
1,,[0.625667929649353],[0.5687475800514221],[0.41120463609695435],[0.8562307357788086],[0.5862948298454285],[0.41221103072166443],[0.9052569270133972],[0.5953468680381775],[0.41625070571899414],[0.8317883610725403],[0.8493735194206238],[0.411954402923584],[0.8419761657714844],[0.8539252877235413],[0.8649458289146423],[0.8400585651397705],[0.8513678908348083],[0.8546058535575867],[0.8402401208877563],[0.8520911335945129],[0.8645991683006287],[0.8218938112258911],[0.8342417478561401],[0.8403234481811523]
2,,[0.8968883752822876],[0.9173241853713989],[0.4711194932460785],[0.9379256963729858],[0.676715612411499],[0.47160977125167847],[0.8931897878646851],[0.8862265348434448],[0.4777485132217407],[0.8966618180274963],[0.9218552708625793],[0.4712942838668823],[0.9094404578208923],[0.9147406816482544],[0.9393985271453857],[0.9088943004608154],[0.9142646789550781],[0.926332414150238],[0.8906427621841431],[0.9013482332229614],[0.9449703693389893],[0.8611598014831543],[0.9099186658859253],[0.9369140863418579]
3,,[0.887197732925415],[0.432070791721344],[0.4283219277858734],[0.9228633642196655],[0.4820159375667572],[0.42923665046691895],[0.9271331429481506],[0.4977845847606659],[0.43023189902305603],[0.9175015687942505],[0.4753935635089874],[0.42858102917671204],[0.9205219149589539],[0.9378042221069336],[0.9434670805931091],[0.923545777797699],[0.9361018538475037],[0.9447808861732483],[0.9128298759460449],[0.9190570116043091],[0.8828203678131104],[0.8756940960884094],[0.8974349498748779],[0.9174228310585022]
4,,[0.8863664865493774],[0.6659423112869263],[0.4623469114303589],[0.9104634523391724],[0.6334870457649231],[0.46283042430877686],[0.9273372292518616],[0.6620657444000244],[0.46467724442481995],[0.9003120064735413],[0.67842036485672],[0.4625599682331085],[0.9191256761550903],[0.9424413442611694],[0.9535935521125793],[0.9214264750480652],[0.9450271725654602],[0.952840268611908],[0.9352152943611145],[0.9436194896697998],[0.9020225405693054],[0.8809792995452881],[0.8868868350982666],[0.8774450421333313]
5,,[0.905905544757843],[0.5360924601554871],[0.43262171745300293],[0.9168877005577087],[0.6320115923881531],[0.4338248074054718],[0.9087827801704407],[0.5445965528488159],[0.4347233474254608],[0.9014402031898499],[0.6158128976821899],[0.4330034554004669],[0.9142406582832336],[0.9246246218681335],[0.9365237355232239],[0.9154502749443054],[0.9264059066772461],[0.9361583590507507],[0.905651867389679],[0.9191444516181946],[0.9185227155685425],[0.8792977929115295],[0.8954980969429016],[0.8972386717796326]
6,,[0.7741106748580933],[0.5834861397743225],[0.5479621887207031],[0.8888392448425293],[0.5822071433067322],[0.5488117933273315],[0.8984140753746033],[0.9334914684295654],[0.5496557950973511],[0.7779780030250549],[0.6056542992591858],[0.5482655167579651],[0.8040646910667419],[0.930549681186676],[0.9073709845542908],[0.7981618642807007],[0.9299765825271606],[0.9345219135284424],[0.792694628238678],[0.909661591053009],[0.9041644334793091],[0.8815070986747742],[0.8799998760223389],[0.8507619500160217]
7,,[0.951541543006897],[0.9580191373825073],[0.31375646591186523],[0.9501240849494934],[0.9579319357872009],[0.31725865602493286],[0.9498775005340576],[0.9593380689620972],[0.4292323589324951],[0.9512600898742676],[0.9566660523414612],[0.3137107491493225],[0.9461755752563477],[0.954070508480072],[0.9629260897636414],[0.9458428621292114],[0.953593373298645],[0.9633735418319702],[0.9491381049156189],[0.9576728940010071],[0.9531997442245483],[0.9113649129867554],[0.9286337494850159],[0.9347727298736572]
8,,[0.8958560824394226],[0.3815847635269165],[0.3791685700416565],[0.9056552052497864],[0.8729928731918335],[0.3809715509414673],[0.8919774293899536],[0.8880689740180969],[0.38315901160240173],[0.8953445553779602],[0.8784773945808411],[0.3804425597190857],[0.8976467251777649],[0.9077191948890686],[0.9125936031341553],[0.8972538113594055],[0.9078415036201477],[0.9140084385871887],[0.8992378115653992],[0.9100831747055054],[0.8974891901016235],[0.7320082783699036],[0.805030107498169],[0.8063694834709167]
9,,[0.9021558165550232],[0.34707504510879517],[0.3218535780906677],[0.9292287230491638],[0.3511715829372406],[0.3243333697319031],[0.9056322574615479],[0.46306389570236206],[0.3254558742046356],[0.9050878882408142],[0.3473600745201111],[0.3219773471355438],[0.9162275195121765],[0.9466631412506104],[0.9567832946777344],[0.9193224906921387],[0.9450269937515259],[0.9521344900131226],[0.8952686786651611],[0.9355031847953796],[0.892954409122467],[0.49096256494522095],[0.8000195026397705],[0.66823810338974]
10,,[0.8770468831062317],[0.49296021461486816],[0.39408907294273376],[0.8973807096481323],[0.8912529349327087],[0.39541348814964294],[0.8789831399917603],[0.9003095626831055],[0.3980846405029297],[0.8689555525779724],[0.5450032949447632],[0.3943835198879242],[0.903175950050354],[0.9320962429046631],[0.9417188167572021],[0.9084407687187195],[0.9341033697128296],[0.9185783267021179],[0.8947936296463013],[0.9323351979255676],[0.9330893754959106],[0.8412344455718994],[0.8703916072845459],[0.8765408992767334]
11,,[0.7352491021156311],[0.5655570030212402],[0.5081678628921509],[0.7229708433151245],[0.582760751247406],[0.5090746879577637],[0.7970784902572632],[0.6624500155448914],[0.510383665561676],[0.7251808643341064],[0.5452771782875061],[0.5082241892814636],[0.9057333469390869],[0.9075375199317932],[0.9085031747817993],[0.9017448425292969],[0.9010337591171265],[0.9059934616088867],[0.890477180480957],[0.9079627990722656],[0.9123325943946838],[0.8883916139602661],[0.8785390257835388],[0.7947625517845154]
12,,[0.6714433431625366],[0.5356419086456299],[0.36683905124664307],[0.8866158127784729],[0.7293246984481812],[0.3685739040374756],[0.8790537118911743],[0.8130429983139038],[0.37676042318344116],[0.850415825843811],[0.8758041858673096],[0.3673541843891144],[0.8829259872436523],[0.8959434628486633],[0.8942362666130066],[0.8859849572181702],[0.896696925163269],[0.8927263021469116],[0.8809245228767395],[0.8977019786834717],[0.9005357623100281],[0.4507073163986206],[0.7651869654655457],[0.725365936756134]
13,,[0.8057094216346741],[0.5023474097251892],[0.3778761625289917],[0.7445170283317566],[0.4958885610103607],[0.3780871629714966],[0.9318949580192566],[0.5045915246009827],[0.37867268919944763],[0.8980211615562439],[0.5242069363594055],[0.3778509497642517],[0.9069296717643738],[0.939369797706604],[0.9454607963562012],[0.9187868237495422],[0.9326730370521545],[0.9406324625015259],[0.8919684886932373],[0.9027954339981079],[0.9283168911933899],[0.7755709290504456],[0.8203074932098389],[0.7208952903747559]
14,,[0.9372974634170532],[0.7346151471138],[0.4455682039260864],[0.9544225335121155],[0.7319677472114563],[0.4461587965488434],[0.9500098824501038],[0.7554659247398376],[0.44677063822746277],[0.9565897583961487],[0.7343478202819824],[0.4457267224788666],[0.9515524506568909],[0.955086350440979],[0.9281842708587646],[0.9516631364822388],[0.9560976624488831],[0.9418888688087463],[0.9508866667747498],[0.9559509754180908],[0.9137448072433472],[0.5669382214546204],[0.9071757793426514],[0.828575611114502]
15,,[0.830643355846405],[0.5929429531097412],[0.3920038044452667],[0.9234662055969238],[0.5413860082626343],[0.39224037528038025],[0.8465871810913086],[0.6595597863197327],[0.39314043521881104],[0.8366078734397888],[0.6050506830215454],[0.3919461667537689],[0.8453772664070129],[0.8598967790603638],[0.8775784969329834],[0.8442385792732239],[0.8593195676803589],[0.8726794123649597],[0.8478401899337769],[0.8640251755714417],[0.8757355213165283],[0.40084052085876465],[0.4193496108055115],[0.7386311888694763]
16,,[0.584708571434021],[0.6953256130218506],[0.4272773563861847],[0.8746762275695801],[0.5285418033599854],[0.4274366796016693],[0.8825709223747253],[0.9355440735816956],[0.4303745627403259],[0.9159286618232727],[0.6188353896141052],[0.4273946285247803],[0.9206376671791077],[0.9342984557151794],[0.9513697624206543],[0.9207772016525269],[0.9338613152503967],[0.9488389492034912],[0.9201048612594604],[0.9323612451553345],[0.9492043852806091],[0.7944970726966858],[0.8651725649833679],[0.8694350123405457]
17,,[0.6450639963150024],[0.5816208720207214],[0.48664355278015137],[0.9102615118026733],[0.6513833403587341],[0.48860999941825867],[0.9128656387329102],[0.9347318410873413],[0.5166210532188416],[0.9081562757492065],[0.6573814749717712],[0.4873894453048706],[0.9304059147834778],[0.9380941390991211],[0.9412720203399658],[0.9312039017677307],[0.9391807317733765],[0.8941835165023804],[0.9117075800895691],[0.9405981302261353],[0.9277533292770386],[0.5029721856117249],[0.8428714275360107],[0.6841346621513367]
