,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
0,,[0.5780807733535767],[0.8071614503860474],[0.424212783575058],[0.5941247940063477],[0.8369513154029846],[0.42509326338768005],[0.5466818809509277],[0.7158398032188416],[0.4256815016269684],[0.6264879107475281],[0.7989646196365356],[0.4242524206638336],[0.9455239772796631],[0.8479863405227661],[0.9100267887115479],[0.9047335386276245],[0.8513956069946289],[0.9084675312042236],[0.9157800674438477],[0.8316090703010559],[0.8816307783126831],[0.8121498823165894],[0.7053107023239136],[0.8017455339431763]
1,,[0.5788040161132812],[0.4858056902885437],[0.4113251864910126],[0.5911616683006287],[0.815331757068634],[0.4119407832622528],[0.6056027412414551],[0.8569159507751465],[0.4165305197238922],[0.7909665107727051],[0.8387154936790466],[0.4121548533439636],[0.8763105273246765],[0.8476619124412537],[0.8624800443649292],[0.8720327615737915],[0.8470157384872437],[0.8623573780059814],[0.8654201030731201],[0.8426355123519897],[0.8583435416221619],[0.8549553751945496],[0.8393771648406982],[0.8596000075340271]
2,,[0.8213080763816833],[0.6841951608657837],[0.4718928337097168],[0.7953003644943237],[0.9151380062103271],[0.4722139835357666],[0.7517572641372681],[0.9160804152488708],[0.4735551178455353],[0.8300983905792236],[0.9051007628440857],[0.4717935621738434],[0.9498682618141174],[0.9143597483634949],[0.9211184978485107],[0.9494950175285339],[0.9147090911865234],[0.9202476739883423],[0.9456461668014526],[0.9074105620384216],[0.9220431447029114],[0.903465986251831],[0.5388702154159546],[0.8865205645561218]
3,,[0.5330730676651001],[0.9272711277008057],[0.42879098653793335],[0.433607280254364],[0.9230915307998657],[0.42905646562576294],[0.4623227119445801],[0.9064321517944336],[0.4303092658519745],[0.602401077747345],[0.91945880651474],[0.42884549498558044],[0.9489993453025818],[0.9326925277709961],[0.9449980854988098],[0.9465270638465881],[0.9264705181121826],[0.9407199025154114],[0.9152092337608337],[0.9040372967720032],[0.9347303509712219],[0.5778725147247314],[0.04402758553624153],[0.8906310200691223]
4,,[0.6375231146812439],[0.5138936042785645],[0.4627496004104614],[0.6364486217498779],[0.8321348428726196],[0.46323248744010925],[0.634756863117218],[0.8078998327255249],[0.4689255952835083],[0.6393098831176758],[0.8555191159248352],[0.46291667222976685],[0.9193971753120422],[0.9219043254852295],[0.9498894214630127],[0.9217053055763245],[0.914794921875],[0.9460223913192749],[0.9312666654586792],[0.88849937915802],[0.9148650169372559],[0.8690253496170044],[0.0014138190308585763],[0.5308146476745605]
5,,[0.8910611271858215],[0.885543167591095],[0.4341021180152893],[0.8357982039451599],[0.9111558794975281],[0.43409463763237],[0.5982880592346191],[0.9409712553024292],[0.43548235297203064],[0.8897720575332642],[0.8912587761878967],[0.43397632241249084],[0.942535400390625],[0.9173508286476135],[0.9299605488777161],[0.9428759813308716],[0.916530191898346],[0.9288665652275085],[0.9270807504653931],[0.8984889388084412],[0.9241409301757812],[0.9039676189422607],[0.8697283864021301],[0.8905481696128845]
6,,[0.8078967332839966],[0.7727006077766418],[0.5487141609191895],[0.6120634078979492],[0.907340943813324],[0.5484088063240051],[0.7936277985572815],[0.875610888004303],[0.5513292551040649],[0.8124520182609558],[0.7824648022651672],[0.5490453839302063],[0.8950289487838745],[0.795674741268158],[0.832196831703186],[0.881119966506958],[0.7878780364990234],[0.8154737949371338],[0.7647480368614197],[0.7909639477729797],[0.7537506818771362],[0.7206948399543762],[0.7862481474876404],[0.6604262590408325]
7,,[0.9604463577270508],[0.9542418718338013],[0.3157438635826111],[0.9455941319465637],[0.9536504745483398],[0.3142796754837036],[0.8927041888237],[0.9546154141426086],[0.3158608078956604],[0.9602682590484619],[0.9543967843055725],[0.31581854820251465],[0.9413238763809204],[0.9472178220748901],[0.9583432078361511],[0.9362776875495911],[0.9498327374458313],[0.9609549641609192],[0.939233660697937],[0.9502869248390198],[0.9605520367622375],[0.949228823184967],[0.9467077255249023],[0.9568099975585938]
8,,[0.8781586289405823],[0.9004313945770264],[0.3798203468322754],[0.8936947584152222],[0.8862718343734741],[0.38087940216064453],[0.8787986636161804],[0.9037860631942749],[0.3823358416557312],[0.912205159664154],[0.8871361017227173],[0.3805738687515259],[0.8912322521209717],[0.8977444171905518],[0.9122830629348755],[0.8913731575012207],[0.8995230197906494],[0.9158399701118469],[0.880518913269043],[0.8786466121673584],[0.8705252408981323],[0.8667332530021667],[0.5036139488220215],[0.8778543472290039]
9,,[0.8631548285484314],[0.9134632349014282],[0.32464972138404846],[0.6399394273757935],[0.936307430267334],[0.3248181939125061],[0.49399134516716003],[0.9367666244506836],[0.325888991355896],[0.8761067986488342],[0.8960458636283875],[0.3248424232006073],[0.9488120675086975],[0.9366050362586975],[0.9465519189834595],[0.9480627179145813],[0.9074094891548157],[0.9430293440818787],[0.9417324662208557],[0.9304911494255066],[0.9436909556388855],[0.8078516721725464],[0.4750227630138397],[0.8495646119117737]
