,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
0,,[0.646730363368988],[0.9357602000236511],[0.91594398021698],[0.6803318858146667],[0.9310858249664307],[0.9208400249481201],[0.9331905841827393],[0.9323720335960388],[0.9219837784767151],[0.8080381155014038],[0.9272428750991821],[0.7839052081108093],[0.9529882669448853],[0.9396386742591858],[0.9303576946258545],[0.9494858384132385],[0.9361276626586914],[0.927789568901062],[0.9609197974205017],[0.9443552494049072],[0.933255136013031],[0.033008359372615814],[0.0484764501452446],[0.015220196917653084]
1,,[0.13495340943336487],[0.9602557420730591],[0.9420056939125061],[0.1356673687696457],[0.9639021754264832],[0.943978488445282],[0.13630180060863495],[0.9637240767478943],[0.9435122013092041],[0.13363750278949738],[0.9583869576454163],[0.9395655393600464],[0.9723902344703674],[0.9611839652061462],[0.9488577246665955],[0.9719279408454895],[0.960963785648346],[0.9488196969032288],[0.9740383625030518],[0.963278591632843],[0.9505383968353271],[0.9567946195602417],[0.926759660243988],[0.8751780986785889]
2,,[0.6287294030189514],[0.9612531661987305],[0.0830632820725441],[0.7464202046394348],[0.9602959752082825],[0.8579467535018921],[0.9845860600471497],[0.9595389366149902],[0.9452292323112488],[0.5575711727142334],[0.9573189616203308],[0.030494974926114082],[0.9745871424674988],[0.9603360295295715],[0.9533631205558777],[0.9764770269393921],[0.9608216285705566],[0.95466548204422],[0.9730663895606995],[0.9587535262107849],[0.9517782926559448],[0.6603158712387085],[0.024592949077486992],[0.006483239121735096]
3,,[0.8570021390914917],[0.5009869933128357],[0.022803790867328644],[0.8511936664581299],[0.8583706021308899],[0.8477252125740051],[0.8563284873962402],[0.8582651019096375],[0.8877776265144348],[0.8561744093894958],[0.6839501261711121],[0.46834060549736023],[0.9365594387054443],[0.8970604538917542],[0.5745969414710999],[0.9713571667671204],[0.8874046802520752],[0.5182133316993713],[0.9109605550765991],[0.6998916268348694],[0.28668802976608276],[0.8450849652290344],[0.8220484852790833],[0.0]
4,,[0.17428605258464813],[0.7580280303955078],[0.7139190435409546],[0.17319141328334808],[0.763464093208313],[0.7348741292953491],[0.17531244456768036],[0.7781214714050293],[0.7544780373573303],[0.17303527891635895],[0.7595065832138062],[0.7277553081512451],[0.790719211101532],[0.7605543732643127],[0.7411758303642273],[0.7890082597732544],[0.7598060965538025],[0.7412970662117004],[0.7940152883529663],[0.76164311170578],[0.7427497506141663],[0.7885695695877075],[0.759613573551178],[0.7413080930709839]
5,,[0.16670654714107513],[0.8850067853927612],[0.8344660401344299],[0.16802868247032166],[0.903149425983429],[0.863041877746582],[0.1672525852918625],[0.8991084694862366],[0.8546183109283447],[0.1673770695924759],[0.891728937625885],[0.8437785506248474],[0.9216890335083008],[0.8835369944572449],[0.8580008149147034],[0.919384777545929],[0.8818913102149963],[0.8567524552345276],[0.9224212765693665],[0.8842498064041138],[0.8570647835731506],[0.8510914444923401],[0.8207064270973206],[0.7953718304634094]
6,,[0.5105164051055908],[0.9550429582595825],[0.9323046803474426],[0.511304497718811],[0.9531017541885376],[0.9397227764129639],[0.9719609618186951],[0.9553372859954834],[0.9411550164222717],[0.5118974447250366],[0.9527009129524231],[0.9236205816268921],[0.9631631374359131],[0.9550231695175171],[0.9454708099365234],[0.9637223482131958],[0.9551805853843689],[0.9459037780761719],[0.9652426242828369],[0.9528377056121826],[0.9356446266174316],[0.08556580543518066],[0.964239239692688],[0.010061599314212799]
7,,[0.3817213773727417],[0.9245678186416626],[0.6825262308120728],[0.38233429193496704],[0.9269006848335266],[0.9109631776809692],[0.3906567692756653],[0.9200963377952576],[0.895103931427002],[0.3823695778846741],[0.9212868213653564],[0.6706538796424866],[0.9472365379333496],[0.9265069365501404],[0.9056605100631714],[0.9474999904632568],[0.926125168800354],[0.9078975915908813],[0.9451339840888977],[0.9224796295166016],[0.901298463344574],[0.7057753205299377],[0.6458814144134521],[0.05595787614583969]
8,,[0.33668726682662964],[0.8805707693099976],[0.33580484986305237],[0.3351845443248749],[0.914152979850769],[0.8678742051124573],[0.33640530705451965],[0.7496082186698914],[0.8929250240325928],[0.3357791602611542],[0.6016437411308289],[0.8829249739646912],[0.9419354200363159],[0.9140516519546509],[0.8973958492279053],[0.8899227380752563],[0.9202790856361389],[0.9029435515403748],[0.9174416065216064],[0.9188732504844666],[0.9008141160011292],[0.8752185106277466],[0.8619852066040039],[0.8489025831222534]
9,,[0.09707608819007874],[0.8368349075317383],[0.8130115270614624],[0.09561285376548767],[0.8417019248008728],[0.8131008148193359],[0.0956188216805458],[0.8520717024803162],[0.8198001384735107],[0.09684736281633377],[0.8395040035247803],[0.8134043216705322],[0.8890077471733093],[0.8442777991294861],[0.8233557343482971],[0.8818596601486206],[0.8410893678665161],[0.8219677209854126],[0.8897356390953064],[0.8464530110359192],[0.824407696723938],[0.859455406665802],[0.8287360072135925],[0.814189076423645]
