,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
0,,[0.3335324823856354],[0.9369201064109802],[0.645772397518158],[0.926855206489563],[0.939415693283081],[0.6467845439910889],[0.9148241877555847],[0.9391575455665588],[0.9536001086235046],[0.021966155618429184],[0.9374017715454102],[0.6472366452217102],[0.9318238496780396],[0.9386131763458252],[0.9440646171569824],[0.9295445084571838],[0.9382979869842529],[0.9458678364753723],[0.9326010942459106],[0.93964022397995],[0.9455342888832092],[0.06979537755250931],[0.93381267786026],[0.9400171637535095]
1,,[0.9579594731330872],[0.9702117443084717],[0.1333325356245041],[0.9583513736724854],[0.9723913073539734],[0.13793723285198212],[0.9542083740234375],[0.9675313830375671],[0.5208987593650818],[0.953899621963501],[0.9665720462799072],[0.13327111303806305],[0.951641321182251],[0.9622343182563782],[0.9720410108566284],[0.9511527419090271],[0.9617113471031189],[0.971916675567627],[0.9505859017372131],[0.9612735509872437],[0.971054196357727],[0.8524681925773621],[0.8968427777290344],[0.936488151550293]
2,,[0.07317928224802017],[0.9639616012573242],[0.5100488662719727],[0.8281075358390808],[0.9627400636672974],[0.5458970069885254],[0.9425747394561768],[0.9623428583145142],[0.9761717319488525],[0.3308786451816559],[0.9634737968444824],[0.5096716284751892],[0.9542440176010132],[0.9620930552482605],[0.9680284857749939],[0.9529865980148315],[0.961688756942749],[0.9678205251693726],[0.9570265412330627],[0.963437020778656],[0.9695286750793457],[0.003677402390167117],[0.9619475603103638],[0.9701066017150879]
3,,[0.6929226517677307],[0.8606789112091064],[0.8583217263221741],[0.6918160915374756],[0.8674793243408203],[0.8583836555480957],[0.7465537190437317],[0.8605295419692993],[0.8570398092269897],[0.1942833513021469],[0.6902193427085876],[0.8597621321678162],[0.5570482015609741],[0.9660599827766418],[0.9769696593284607],[0.5377424955368042],[0.9529924988746643],[0.9666352272033691],[0.5032768845558167],[0.9517635703086853],[0.97202467918396],[0.004829470533877611],[0.7619526982307434],[0.9458226561546326]
4,,[0.7142065167427063],[0.7476441860198975],[0.1715937852859497],[0.7295986413955688],[0.7519701719284058],[0.17273619771003723],[0.6702730655670166],[0.7433979511260986],[0.1733798384666443],[0.719245433807373],[0.7468583583831787],[0.17108747363090515],[0.7340611219406128],[0.7499630451202393],[0.7692742347717285],[0.7324206829071045],[0.7484725713729858],[0.7682304978370667],[0.734662652015686],[0.7508643269538879],[0.7695901393890381],[0.7346848845481873],[0.7540139555931091],[0.7659896016120911]
5,,[0.08553480356931686],[0.8677694797515869],[0.16623958945274353],[0.8327513337135315],[0.8840513825416565],[0.16481757164001465],[0.843197226524353],[0.8840153217315674],[0.1704893708229065],[0.8227177858352661],[0.8822262287139893],[0.1648169755935669],[0.8476390242576599],[0.8766142129898071],[0.9094140529632568],[0.8512061834335327],[0.8806583881378174],[0.9133114218711853],[0.8479178547859192],[0.8754062652587891],[0.9102147221565247],[0.8349184989929199],[0.8662538528442383],[0.8975083827972412]
6,,[0.9417057037353516],[0.9537298679351807],[0.5106265544891357],[0.945525050163269],[0.9560830593109131],[0.5120560526847839],[0.938787043094635],[0.9544839262962341],[0.9575778841972351],[0.9354240298271179],[0.9533130526542664],[0.510505735874176],[0.9452999234199524],[0.9533860087394714],[0.9580652117729187],[0.9457988739013672],[0.9535735845565796],[0.9579883813858032],[0.945686399936676],[0.953472912311554],[0.9578642249107361],[0.9462636113166809],[0.9538441300392151],[0.9587768316268921]
7,,[0.41374847292900085],[0.9216367602348328],[0.38038113713264465],[0.898651659488678],[0.9271804094314575],[0.3835640847682953],[0.8954952955245972],[0.9254660606384277],[0.9600011110305786],[0.6919140815734863],[0.9181022047996521],[0.3802754580974579],[0.902187705039978],[0.9208484888076782],[0.9379151463508606],[0.8980944752693176],[0.9177420735359192],[0.9362373352050781],[0.903598427772522],[0.9200270175933838],[0.9373723268508911],[0.8872999548912048],[0.901297390460968],[0.9186630249023438]
8,,[0.7582723498344421],[0.3356495201587677],[0.33216023445129395],[0.835942268371582],[0.8955989480018616],[0.33516424894332886],[0.8203927278518677],[0.8928729295730591],[0.3481469750404358],[0.8605472445487976],[0.900895357131958],[0.3348909616470337],[0.8682505488395691],[0.8975679278373718],[0.9297592043876648],[0.8652282357215881],[0.8935925364494324],[0.926017701625824],[0.8751746416091919],[0.9065676331520081],[0.9288720488548279],[0.8281559348106384],[0.8490422368049622],[0.873690664768219]
9,,[0.8213992118835449],[0.8618247509002686],[0.09716589003801346],[0.820288896560669],[0.8556967377662659],[0.09712748974561691],[0.8282611966133118],[0.8573373556137085],[0.12651681900024414],[0.8150796294212341],[0.8473843336105347],[0.09689178317785263],[0.8216456770896912],[0.8438205122947693],[0.8770611882209778],[0.8220503330230713],[0.8459727168083191],[0.8826826810836792],[0.8201477527618408],[0.8383591771125793],[0.870385468006134],[0.8215224742889404],[0.848314106464386],[0.8757495880126953]
10,,[0.8733267784118652],[0.8915152549743652],[0.4373844861984253],[0.8782753348350525],[0.8923727869987488],[0.437558650970459],[0.8723130226135254],[0.8905140161514282],[0.9069116711616516],[0.8720099925994873],[0.8911314606666565],[0.4369947910308838],[0.8778095245361328],[0.8889260292053223],[0.8972823619842529],[0.878042459487915],[0.8889174461364746],[0.8975157141685486],[0.8774365782737732],[0.8885546922683716],[0.8965647220611572],[0.8749392032623291],[0.8864278793334961],[0.8963534832000732]
11,,[0.885977029800415],[0.9303005337715149],[0.44447633624076843],[0.9064813852310181],[0.934246301651001],[0.4455321133136749],[0.9172316193580627],[0.9326813817024231],[0.5450823903083801],[0.7766000628471375],[0.9286219477653503],[0.4437181055545807],[0.916475772857666],[0.9312183260917664],[0.9455106258392334],[0.9173650741577148],[0.9324988126754761],[0.9464810490608215],[0.8205690383911133],[0.8741002678871155],[0.8964475393295288],[0.8944559693336487],[0.9181279540061951],[0.9294850826263428]
12,,[0.7358525991439819],[0.8011653423309326],[0.3752231001853943],[0.7313715219497681],[0.8019534945487976],[0.37899672985076904],[0.7953023314476013],[0.8504818081855774],[0.3759264051914215],[0.7333869934082031],[0.7976786494255066],[0.37533390522003174],[0.7789438962936401],[0.8240693211555481],[0.8815727233886719],[0.7747132182121277],[0.8166946172714233],[0.8685823082923889],[0.7681249976158142],[0.8066367506980896],[0.8531872034072876],[0.12938979268074036],[0.6446742415428162],[0.8007856011390686]
13,,[0.9247046113014221],[0.9403132200241089],[0.34870970249176025],[0.929682195186615],[0.9427753686904907],[0.34946608543395996],[0.9254094362258911],[0.9410974383354187],[0.4022413492202759],[0.9176735281944275],[0.9379606246948242],[0.3483262062072754],[0.9290075898170471],[0.9377980828285217],[0.9433848857879639],[0.9288634061813354],[0.9376217126846313],[0.9431007504463196],[0.9278848767280579],[0.9362534880638123],[0.9430630803108215],[0.8294494152069092],[0.9316554069519043],[0.9250836968421936]
14,,[0.8862830400466919],[0.918333888053894],[0.27120059728622437],[0.8985006809234619],[0.9204990267753601],[0.2735000550746918],[0.862586498260498],[0.9152362942695618],[0.9372512698173523],[0.824019193649292],[0.9119240641593933],[0.2712860405445099],[0.8972821831703186],[0.9160244464874268],[0.9263195991516113],[0.8971096277236938],[0.9156519174575806],[0.9260791540145874],[0.8928863406181335],[0.9118643403053284],[0.9233249425888062],[0.7749209403991699],[0.8081053495407104],[0.8467777371406555]
15,,[0.6480951309204102],[0.8874542713165283],[0.38656023144721985],[0.7281846404075623],[0.8868045210838318],[0.3879632353782654],[0.841333270072937],[0.8890599012374878],[0.39192938804626465],[0.6482686996459961],[0.8859080076217651],[0.38646966218948364],[0.8494626879692078],[0.8900883793830872],[0.9206186532974243],[0.8473524451255798],[0.8879490494728088],[0.9188170433044434],[0.8622460961341858],[0.8980506658554077],[0.9339099526405334],[0.866826057434082],[0.9026609659194946],[0.9440032839775085]
16,,[0.8677464127540588],[0.8957423567771912],[0.4930422604084015],[0.8894175887107849],[0.9026123881340027],[0.4928472340106964],[0.878471851348877],[0.8990359902381897],[0.9207859039306641],[0.8651184439659119],[0.8957289457321167],[0.4929267466068268],[0.8837587833404541],[0.8971534967422485],[0.9079591035842896],[0.885291576385498],[0.898101806640625],[0.9098914265632629],[0.883200466632843],[0.8966821432113647],[0.9075831174850464],[0.8803912997245789],[0.8917847871780396],[0.9074078798294067]
17,,[0.017135433852672577],[0.018342992290854454],[0.7690719962120056],[0.7666664719581604],[0.8929383158683777],[0.4100429117679596],[0.7663615942001343],[0.9073192477226257],[0.3979533016681671],[0.7469721436500549],[0.8873381614685059],[0.39469990134239197],[0.7789948582649231],[0.8968877196311951],[0.9029942750930786],[0.8548935651779175],[0.8940786719322205],[0.8927546739578247],[0.8030281066894531],[0.9015538096427917],[0.8891764283180237],[0.7596904635429382],[0.8810452222824097],[0.8817331194877625]
18,,[0.8109277486801147],[0.9134408235549927],[0.4133995473384857],[0.7968424558639526],[0.8894712924957275],[0.41641223430633545],[0.8500834703445435],[0.9160416126251221],[0.4673495292663574],[0.7877347469329834],[0.8988181948661804],[0.4133428633213043],[0.8720135688781738],[0.9335849285125732],[0.843403160572052],[0.8682141304016113],[0.9246432781219482],[0.8845354318618774],[0.8821204304695129],[0.9350394010543823],[0.8802361488342285],[0.8997422456741333],[0.905437171459198],[0.7574061155319214]
19,,[0.5993605256080627],[0.8118821382522583],[0.5888004899024963],[0.7625755667686462],[0.8139721751213074],[0.5897780060768127],[0.7547799944877625],[0.8214788436889648],[0.7107539176940918],[0.6109694838523865],[0.8131340742111206],[0.5888336300849915],[0.8004572987556458],[0.8315512537956238],[0.8588798642158508],[0.79861980676651],[0.8287754654884338],[0.8534096479415894],[0.8013243079185486],[0.836818277835846],[0.8681507110595703],[0.7930971384048462],[0.8151183128356934],[0.8205246925354004]
20,,[0.8075213432312012],[0.8403322100639343],[0.30545055866241455],[0.8145014047622681],[0.8491097688674927],[0.3087155520915985],[0.8149170875549316],[0.8510332703590393],[0.3099192678928375],[0.8115290403366089],[0.8404707908630371],[0.30556297302246094],[0.8185691237449646],[0.8422985076904297],[0.8770052790641785],[0.8186317682266235],[0.8418259620666504],[0.8779207468032837],[0.8217856884002686],[0.8518227934837341],[0.8901456594467163],[0.8211183547973633],[0.8460407853126526],[0.88499915599823]
21,,[0.42586901783943176],[0.7056216597557068],[0.5081932544708252],[0.5397679805755615],[0.7169076800346375],[0.509225070476532],[0.7971985340118408],[0.6577352285385132],[0.5118040442466736],[0.5137718319892883],[0.6283178925514221],[0.5087586045265198],[0.7215203046798706],[0.7605404257774353],[0.7736736536026001],[0.7472860813140869],[0.763843297958374],[0.77006596326828],[0.7288445830345154],[0.7288632392883301],[0.7624145150184631],[0.09004320949316025],[0.7792945504188538],[0.819263756275177]
22,,[0.9138957858085632],[0.44688981771469116],[0.33352476358413696],[0.9093515872955322],[0.8735585808753967],[0.33421406149864197],[0.8937516212463379],[0.9294448494911194],[0.3357166051864624],[0.9097782373428345],[0.46758362650871277],[0.33365291357040405],[0.9185677170753479],[0.929481029510498],[0.9341163039207458],[0.9197290539741516],[0.9301021099090576],[0.9387282729148865],[0.9024362564086914],[0.9163745045661926],[0.9274542331695557],[0.9194236397743225],[0.924439013004303],[0.9197401404380798]
23,,[0.7803318500518799],[0.8119717240333557],[0.705704927444458],[0.8104447722434998],[0.8001449108123779],[0.7058335542678833],[0.7133365869522095],[0.809212327003479],[0.7104593515396118],[0.5642224550247192],[0.7697815895080566],[0.7061473727226257],[0.805232048034668],[0.8221940398216248],[0.8063371777534485],[0.8357833623886108],[0.8592438101768494],[0.846156120300293],[0.14778363704681396],[0.7735562324523926],[0.743837833404541],[0.7566981911659241],[0.7861704230308533],[0.7889930605888367]
24,,[0.8449257612228394],[0.9187466502189636],[0.3248825669288635],[0.8216131329536438],[0.9085492491722107],[0.3264407515525818],[0.8367067575454712],[0.9125572443008423],[0.3793281614780426],[0.7111212015151978],[0.8585011959075928],[0.3245528042316437],[0.8809518218040466],[0.9234248399734497],[0.9471499919891357],[0.8812265396118164],[0.9227533936500549],[0.9446210265159607],[0.8484876751899719],[0.8785822987556458],[0.9113459587097168],[0.8604274392127991],[0.9196776151657104],[0.8242052793502808]
25,,[0.9179762005805969],[0.9415225386619568],[0.39306876063346863],[0.9218310117721558],[0.9434971213340759],[0.7504989504814148],[0.9268632531166077],[0.9430601000785828],[0.9467916488647461],[0.7270987033843994],[0.9409604072570801],[0.39250656962394714],[0.9328930377960205],[0.9409776926040649],[0.9494695663452148],[0.9330648183822632],[0.9413148760795593],[0.9500955939292908],[0.9330731630325317],[0.9409992098808289],[0.9493193626403809],[0.9344062805175781],[0.9432668089866638],[0.951573371887207]
26,,[0.9476363062858582],[0.9627217650413513],[0.5662846565246582],[0.9546828269958496],[0.9646009802818298],[0.5709970593452454],[0.9510223269462585],[0.963463544845581],[0.9716070890426636],[0.1624108999967575],[0.9629758596420288],[0.5658381581306458],[0.958721399307251],[0.9635217785835266],[0.9680542945861816],[0.9592645764350891],[0.9638330340385437],[0.9690020084381104],[0.9575372934341431],[0.9631555676460266],[0.968887209892273],[0.9589115381240845],[0.9650232791900635],[0.9697475433349609]
27,,[0.581819474697113],[0.7140716910362244],[0.7107937335968018],[0.5861104130744934],[0.8195368051528931],[0.7105793356895447],[0.5028130412101746],[0.8683882355690002],[0.7117897868156433],[0.0037885322235524654],[0.5602049827575684],[0.7136004567146301],[0.5307811498641968],[0.8616907000541687],[0.8951860666275024],[0.5227968096733093],[0.7689770460128784],[0.8914586305618286],[0.4587761163711548],[0.8231317400932312],[0.8658740520477295],[0.017210325226187706],[0.8711274266242981],[0.8070915937423706]
28,,[0.14976753294467926],[0.373035192489624],[0.8595090508460999],[0.5901042222976685],[0.7965829968452454],[0.5310561060905457],[0.7585955858230591],[0.8392308950424194],[0.5311511158943176],[0.527237594127655],[0.5352622866630554],[0.5310164093971252],[0.6374207139015198],[0.7709147334098816],[0.8685140609741211],[0.650965690612793],[0.7809489369392395],[0.8833624720573425],[0.665890097618103],[0.7799255847930908],[0.8924682140350342],[0.42028796672821045],[0.6976307034492493],[0.7714820504188538]
29,,[0.013209682889282703],[0.034258387982845306],[0.5290127396583557],[0.7140523791313171],[0.5323282480239868],[0.50262051820755],[0.733433187007904],[0.562212347984314],[0.5033009648323059],[0.01312848087400198],[0.5407477021217346],[0.5040566325187683],[0.054762691259384155],[0.5356763601303101],[0.8305604457855225],[0.052770063281059265],[0.4265729784965515],[0.7877163290977478],[0.05699602887034416],[0.701612651348114],[0.842805802822113],[0.055757950991392136],[0.6755419969558716],[0.7771168947219849]
30,,[0.9300707578659058],[0.9416357278823853],[0.3464406132698059],[0.9288852214813232],[0.9438217878341675],[0.346873015165329],[0.928652286529541],[0.9428765177726746],[0.4205430746078491],[0.0002687365049496293],[0.9386292695999146],[0.34508708119392395],[0.9298569560050964],[0.9403198957443237],[0.9470513463020325],[0.9304231405258179],[0.9406697750091553],[0.9472161531448364],[0.928141713142395],[0.9391353130340576],[0.9465044140815735],[0.9284159541130066],[0.9385541677474976],[0.945692241191864]
31,,[0.20221468806266785],[0.6858120560646057],[0.9395752549171448],[0.8972217440605164],[0.9271852374076843],[0.6481420397758484],[0.7697163820266724],[0.9219841361045837],[0.9428399801254272],[0.3682790994644165],[0.9219944477081299],[0.6460980176925659],[0.9149048924446106],[0.9271482229232788],[0.9545188546180725],[0.9160996079444885],[0.9287764430046082],[0.9560033082962036],[0.9167071580886841],[0.9300646781921387],[0.9561299085617065],[0.6983245015144348],[0.8373167514801025],[0.8648073673248291]
