,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
0,,[0.9287254214286804],[0.04126415029168129],[0.6500499248504639],[0.9311990737915039],[0.9047939777374268],[0.6438897848129272],[0.9340425729751587],[0.9154091477394104],[0.6441969275474548],[0.9294028878211975],[0.2404012233018875],[0.6489198803901672],[0.939308762550354],[0.9225767850875854],[0.9280580282211304],[0.9399027228355408],[0.9225925207138062],[0.9282265305519104],[0.9387126564979553],[0.9237781763076782],[0.9292347431182861],[0.6711135506629944],[0.03589162975549698],[0.07171548157930374]
1,,[0.9731027483940125],[0.9555712938308716],[0.13450871407985687],[0.9699693918228149],[0.9547792673110962],[0.1364709585905075],[0.969273567199707],[0.9563603401184082],[0.5346086025238037],[0.9651892781257629],[0.9403854012489319],[0.13619567453861237],[0.9715644121170044],[0.9532102346420288],[0.9614134430885315],[0.9726394414901733],[0.9546089768409729],[0.9624652862548828],[0.9692407846450806],[0.950195848941803],[0.9589666724205017],[0.9734410047531128],[0.9551697969436646],[0.9631215929985046]
2,,[0.9606990814208984],[0.7118905782699585],[0.5435981750488281],[0.9613047242164612],[0.9100921154022217],[0.7205929756164551],[0.9618274569511414],[0.9454694390296936],[0.7098580002784729],[0.9611046314239502],[0.45159095525741577],[0.6601190567016602],[0.9692516326904297],[0.9525597095489502],[0.9578408002853394],[0.969224214553833],[0.952774703502655],[0.9580687880516052],[0.932706892490387],[0.8482974171638489],[0.9086076617240906],[0.9695824384689331],[0.9546540975570679],[0.9607911109924316]
3,,[0.8612236976623535],[0.509026288986206],[0.8594207167625427],[0.858684241771698],[0.6945378184318542],[0.8583778738975525],[0.8599497675895691],[0.9065399169921875],[0.860448956489563],[0.6896957755088806],[0.28451621532440186],[0.8599887490272522],[0.9650034308433533],[0.7984674572944641],[0.96004718542099],[0.9599676728248596],[0.6681643724441528],[0.9361361265182495],[0.9646464586257935],[0.8389474749565125],[0.963414192199707],[0.6648245453834534],[0.19299376010894775],[0.4570194184780121]
4,,[0.173956036567688],[0.7548124194145203],[0.16300317645072937],[0.7486141324043274],[0.7142410278320312],[0.17480319738388062],[0.7722119688987732],[0.7333139777183533],[0.1748584508895874],[0.7496152520179749],[0.7158255577087402],[0.17463229596614838],[0.764876663684845],[0.7295649647712708],[0.7477423548698425],[0.764908492565155],[0.7287001013755798],[0.7464213967323303],[0.7649933695793152],[0.7279691696166992],[0.7447033524513245],[0.7650145292282104],[0.7327334880828857],[0.7455684542655945]
5,,[0.8683727383613586],[0.8119992613792419],[0.16768819093704224],[0.8747738003730774],[0.8247622847557068],[0.16763830184936523],[0.87986820936203],[0.8274075388908386],[0.16849689185619354],[0.8716745972633362],[0.8204948306083679],[0.16765500605106354],[0.8971825242042542],[0.8365484476089478],[0.8668029308319092],[0.8943296670913696],[0.8321391344070435],[0.8647435307502747],[0.8881139159202576],[0.8245021104812622],[0.8572256565093994],[0.8586711287498474],[0.7905807495117188],[0.8315064907073975]
6,,[0.9540440440177917],[0.9352333545684814],[0.5111013054847717],[0.9561063051223755],[0.9439448118209839],[0.5090650916099548],[0.956063985824585],[0.9431284070014954],[0.5079955458641052],[0.9538804888725281],[0.9232656955718994],[0.5113771557807922],[0.9592625498771667],[0.9472898840904236],[0.9510382413864136],[0.9593585133552551],[0.9475495219230652],[0.9515226483345032],[0.9598517417907715],[0.94892817735672],[0.9524804949760437],[0.9058082699775696],[0.06721068173646927],[0.7917776107788086]
7,,[0.9074152708053589],[0.6980317831039429],[0.38181525468826294],[0.9124853610992432],[0.7196648716926575],[0.3810862898826599],[0.9167465567588806],[0.8964730501174927],[0.38088810443878174],[0.9056199789047241],[0.6836402416229248],[0.38168585300445557],[0.9330753684043884],[0.9009979367256165],[0.9084311127662659],[0.929069459438324],[0.8831841945648193],[0.9008123874664307],[0.9335644841194153],[0.9038558602333069],[0.910088300704956],[0.8918974995613098],[0.07114667445421219],[0.07863450795412064]
8,,[0.8841071724891663],[0.34156733751296997],[0.3353523910045624],[0.8995615243911743],[0.8721487522125244],[0.33595600724220276],[0.9061369895935059],[0.8605656623840332],[0.3377804458141327],[0.8992513418197632],[0.8742650151252747],[0.3352012038230896],[0.9201644659042358],[0.8746281266212463],[0.8925909399986267],[0.9159711003303528],[0.8720812201499939],[0.8890863060951233],[0.9259288907051086],[0.8789631724357605],[0.896358072757721],[0.9007037281990051],[0.8377998471260071],[0.8602209687232971]
9,,[0.8288178443908691],[0.7998843789100647],[0.09733187407255173],[0.8593361377716064],[0.8156132698059082],[0.09711848944425583],[0.8392649292945862],[0.8112587928771973],[0.10105012357234955],[0.8482840061187744],[0.8116884827613831],[0.0972164049744606],[0.8760645985603333],[0.8186460137367249],[0.8522634506225586],[0.8684467077255249],[0.8160576224327087],[0.8415828347206116],[0.8616853952407837],[0.815150797367096],[0.8356503844261169],[0.8819897174835205],[0.8186637163162231],[0.8750088810920715]
10,,[0.8872876167297363],[0.8666762709617615],[0.43634700775146484],[0.8869926333427429],[0.8668128848075867],[0.4376351237297058],[0.8970376253128052],[0.8778706789016724],[0.38351359963417053],[0.8846123814582825],[0.8611629009246826],[0.43678778409957886],[0.8926904797554016],[0.8704836368560791],[0.8787348866462708],[0.892667829990387],[0.8704246282577515],[0.8786273002624512],[0.8747429847717285],[0.8288066387176514],[0.8570778965950012],[0.8029645085334778],[0.5136115550994873],[0.759208083152771]
11,,[0.9205112457275391],[0.8149147629737854],[0.4450157880783081],[0.9274846911430359],[0.8941443562507629],[0.4450700283050537],[0.924254298210144],[0.8976107239723206],[0.44534292817115784],[0.9189544320106506],[0.28470703959465027],[0.4449921250343323],[0.9368330240249634],[0.9107418656349182],[0.9195448160171509],[0.9367625713348389],[0.9107301235198975],[0.9183835983276367],[0.9398615956306458],[0.9099128246307373],[0.9194937944412231],[0.9352190494537354],[0.9130054712295532],[0.920546293258667]
12,,[0.7940495014190674],[0.7375103235244751],[0.3769751191139221],[0.81697678565979],[0.7658008337020874],[0.37695759534835815],[0.8188155889511108],[0.7636005878448486],[0.3778083920478821],[0.7935607433319092],[0.732429563999176],[0.37701013684272766],[0.8804921507835388],[0.7888808250427246],[0.8089567422866821],[0.8762899041175842],[0.7812396287918091],[0.7994205355644226],[0.8669515252113342],[0.7823448777198792],[0.8037670850753784],[0.8733313083648682],[0.7928022742271423],[0.8204383254051208]
13,,[0.9400378465652466],[0.9220541715621948],[0.3499160706996918],[0.9392693042755127],[0.9225419163703918],[0.35004183650016785],[0.9398380517959595],[0.9223960041999817],[0.3503185510635376],[0.936180591583252],[0.9053372740745544],[0.35003674030303955],[0.9430220127105713],[0.9223532676696777],[0.929882287979126],[0.9422955513000488],[0.9218475818634033],[0.9297067523002625],[0.9071450233459473],[0.8443964123725891],[0.8920547366142273],[0.9129782915115356],[0.8498189449310303],[0.8885520100593567]
14,,[0.7690173983573914],[0.6441059112548828],[0.04540514200925827],[0.9040534496307373],[0.8791091442108154],[0.27190837264060974],[0.9027065634727478],[0.877162516117096],[0.3261307179927826],[0.8953220248222351],[0.8600773811340332],[0.2722797989845276],[0.9186147451400757],[0.8877884149551392],[0.9018335938453674],[0.9188995361328125],[0.8884907364845276],[0.9020312428474426],[0.9139126539230347],[0.8734154105186462],[0.8921340703964233],[0.8816748261451721],[0.4246715307235718],[0.8442594408988953]
15,,[0.8226985335350037],[0.06463084369897842],[0.3882763385772705],[0.8864943981170654],[0.7243782877922058],[0.3875206708908081],[0.8463816046714783],[0.8648827075958252],[0.38747337460517883],[0.867454469203949],[0.5927852988243103],[0.3872578740119934],[0.8969834446907043],[0.8204966187477112],[0.8621112704277039],[0.8948200941085815],[0.8137184381484985],[0.8585035800933838],[0.8987887501716614],[0.8240635395050049],[0.8575369119644165],[0.8555017709732056],[0.7384470701217651],[0.8008489608764648]
16,,[0.8905133605003357],[0.838842511177063],[0.4958997368812561],[0.8963616490364075],[0.8680645227432251],[0.49234721064567566],[0.9100043177604675],[0.8915083408355713],[0.25423017144203186],[0.8910531401634216],[0.8502106666564941],[0.4946637749671936],[0.9026013612747192],[0.8776233792304993],[0.8915169835090637],[0.9002325534820557],[0.8759132027626038],[0.8890887498855591],[0.9028441309928894],[0.8699846267700195],[0.8884645104408264],[0.9006457924842834],[0.8668544888496399],[0.8875970244407654]
17,,[0.7476993203163147],[0.07270944118499756],[0.5333235263824463],[0.8339024782180786],[0.7907127141952515],[0.3882603049278259],[0.8531253933906555],[0.8031535744667053],[0.3923148512840271],[0.7511233687400818],[0.15195676684379578],[0.8507717847824097],[0.8964270353317261],[0.7601361870765686],[0.8986104726791382],[0.8932393789291382],[0.7552700638771057],[0.8771716356277466],[0.8976720571517944],[0.7569172382354736],[0.8930876851081848],[0.8921261429786682],[0.7840458750724792],[0.9124815464019775]
18,,[0.8762694597244263],[0.022055787965655327],[0.41327401995658875],[0.9026440978050232],[0.8226656317710876],[0.413722962141037],[0.9184262752532959],[0.8785572648048401],[0.4138242304325104],[0.8858526945114136],[0.7805759310722351],[0.41320353746414185],[0.9353657960891724],[0.8885229229927063],[0.910773515701294],[0.9322559833526611],[0.8833341002464294],[0.9082815051078796],[0.9258197546005249],[0.8376272916793823],[0.8714483380317688],[0.9380478262901306],[0.32141751050949097],[0.882552981376648]
19,,[0.8134780526161194],[0.6822871565818787],[0.5870295166969299],[0.7325452566146851],[0.8040879964828491],[0.5869701504707336],[0.5917314887046814],[0.818682074546814],[0.5870795845985413],[0.8012560606002808],[0.6502112150192261],[0.5874136090278625],[0.8340949416160583],[0.7913561463356018],[0.8079125285148621],[0.8325852751731873],[0.7903468012809753],[0.8066024780273438],[0.83506178855896],[0.792120635509491],[0.8129273653030396],[0.8140453696250916],[0.7519726753234863],[0.7791595458984375]
20,,[0.8450725674629211],[0.8137298822402954],[0.3061157166957855],[0.8646993637084961],[0.8379687070846558],[0.3057933449745178],[0.8475625514984131],[0.8272458910942078],[0.3067373037338257],[0.8448929190635681],[0.8095627427101135],[0.3062203526496887],[0.8659301400184631],[0.8219310641288757],[0.8412793874740601],[0.8687964677810669],[0.8235484957695007],[0.8432803153991699],[0.8548349142074585],[0.8111814260482788],[0.8279634118080139],[0.8453696370124817],[0.7697301506996155],[0.7975980639457703]
21,,[0.5730019211769104],[0.3477593660354614],[0.5078001618385315],[0.5705849528312683],[0.7307150363922119],[0.5073565244674683],[0.5324665904045105],[0.6743102669715881],[0.5071941614151001],[0.5666503310203552],[0.6116223931312561],[0.5075609683990479],[0.7895859479904175],[0.7249445915222168],[0.7882986068725586],[0.8669178485870361],[0.544023871421814],[0.7970693111419678],[0.7606361508369446],[0.7698438763618469],[0.7764167785644531],[0.8323137164115906],[0.8009981513023376],[0.8367783427238464]
