,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
0,,[0.6933779716491699],[0.9569350481033325],[0.9304600358009338],[0.6787004470825195],[0.8127097487449646],[0.9405671954154968],[0.6834068894386292],[0.8147197365760803],[0.9617032408714294],[0.6767945885658264],[0.7488017678260803],[0.6331027150154114],[0.8027365207672119],[0.8476346135139465],[0.9386838674545288],[0.8047870993614197],[0.8925897479057312],[0.9484601020812988],[0.7433062195777893],[0.7657284736633301],[0.12603223323822021],[0.7721986174583435],[0.8451266288757324],[0.8734007477760315]
1,,[0.6287848949432373],[0.8068044781684875],[0.8592345714569092],[0.6287258863449097],[0.8107772469520569],[0.9529368877410889],[0.6385163068771362],[0.813378632068634],[0.9535649418830872],[0.6300504207611084],[0.8052495121955872],[0.8780580759048462],[0.9545075297355652],[0.9394698739051819],[0.8586466312408447],[0.861875057220459],[0.9213465452194214],[0.8656183481216431],[0.9529228806495667],[0.927162766456604],[0.3952944278717041],[0.7990320920944214],[0.8213418126106262],[0.7416660189628601]
2,,[0.5796979665756226],[0.9044799208641052],[0.8929035663604736],[0.5807766914367676],[0.7872640490531921],[0.9671597480773926],[0.5818178653717041],[0.868436336517334],[0.9668091535568237],[0.579818606376648],[0.9359738230705261],[0.8811191320419312],[0.7820948362350464],[0.9674220085144043],[0.9652255177497864],[0.7856053113937378],[0.9670862555503845],[0.9644990563392639],[0.7674981951713562],[0.9675717949867249],[0.9669084548950195],[0.8473798036575317],[0.9506130814552307],[0.5382483601570129]
3,,[0.6356204152107239],[0.9086222648620605],[0.9397876262664795],[0.6389256715774536],[0.8729485273361206],[0.919663667678833],[0.6424166560173035],[0.8368480801582336],[0.9166783094406128],[0.633327066898346],[0.9057619571685791],[0.7755793333053589],[0.9271133542060852],[0.9495895504951477],[0.7733938097953796],[0.9236361384391785],[0.9432646632194519],[0.8150591254234314],[0.8993127942085266],[0.8991848230361938],[0.7587606906890869],[0.7916526198387146],[0.8502422571182251],[0.23160289227962494]
4,,[0.55372154712677],[0.5718560814857483],[0.6473866105079651],[0.5502290725708008],[0.7878853678703308],[0.9136451482772827],[0.5506662130355835],[0.7875074148178101],[0.9115355014801025],[0.5537863969802856],[0.8411824703216553],[0.8224020004272461],[0.9120364785194397],[0.8792077898979187],[0.7448800802230835],[0.9080613851547241],[0.8939893245697021],[0.80063796043396],[0.7861739993095398],[0.8677701354026794],[0.8230046033859253],[0.9096255898475647],[0.7973023056983948],[0.6496104001998901]
5,,[0.7911192774772644],[0.9688668251037598],[0.43026790022850037],[0.6225020885467529],[0.9678602814674377],[0.9597172141075134],[0.6577576398849487],[0.9701284170150757],[0.9077513813972473],[0.6208234429359436],[0.9545221924781799],[0.8893834352493286],[0.8092449307441711],[0.9673092365264893],[0.9483633041381836],[0.9678637385368347],[0.9640557169914246],[0.8420203924179077],[0.8994577527046204],[0.8912370204925537],[0.3027361035346985],[0.7470285892486572],[0.9217286109924316],[0.22209906578063965]
6,,[0.7618466019630432],[0.9729633331298828],[0.9676446318626404],[0.6880607008934021],[0.792260468006134],[0.9691392779350281],[0.6422408223152161],[0.7962814569473267],[0.9608942270278931],[0.6437011361122131],[0.963821530342102],[0.9349725842475891],[0.9608667492866516],[0.9696925282478333],[0.8339250087738037],[0.9494128823280334],[0.9487448930740356],[0.7401639223098755],[0.9369552135467529],[0.9223254323005676],[0.6427887678146362],[0.330099493265152],[0.2516324520111084],[0.1661572903394699]
7,,[0.7383233904838562],[0.9709303975105286],[0.885036826133728],[0.6895934343338013],[0.9724899530410767],[0.9653609395027161],[0.7271403074264526],[0.8240869641304016],[0.9664758443832397],[0.6890217065811157],[0.9536401033401489],[0.9381576180458069],[0.9688873887062073],[0.965690016746521],[0.7153325080871582],[0.9692636728286743],[0.9659271240234375],[0.700432300567627],[0.96888667345047],[0.9716671109199524],[0.822649359703064],[0.49095380306243896],[0.3023473024368286],[0.18973730504512787]
8,,[0.5973609089851379],[0.8230574131011963],[0.8351752758026123],[0.5983980298042297],[0.8618813157081604],[0.9010173082351685],[0.6172110438346863],[0.8451088666915894],[0.9064093828201294],[0.5976024270057678],[0.8385427594184875],[0.9017649292945862],[0.8925006985664368],[0.9083675742149353],[0.9102840423583984],[0.8918814659118652],[0.9071614146232605],[0.9029930233955383],[0.8913004994392395],[0.8198642730712891],[0.7807390689849854],[0.8901717662811279],[0.8860055208206177],[0.700112521648407]
9,,[0.598412275314331],[0.9242100715637207],[0.7057647705078125],[0.6008325219154358],[0.76370769739151],[0.9415377378463745],[0.6009257435798645],[0.7777709364891052],[0.9261938333511353],[0.597251296043396],[0.805854856967926],[0.9496928453445435],[0.7739784717559814],[0.9287946224212646],[0.9089362025260925],[0.7577211260795593],[0.8853001594543457],[0.9113251566886902],[0.9114274978637695],[0.9031484723091125],[0.7225773930549622],[0.4167523980140686],[0.329542875289917],[0.32236048579216003]
