,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
0,,[0.9421672224998474],[0.9619739651679993],[0.8005439043045044],[0.9615928530693054],[0.9652135968208313],[0.8023311495780945],[0.9610099792480469],[0.96566241979599],[0.8037750720977783],[0.6595913767814636],[0.7984117269515991],[0.8022403120994568],[0.9590197205543518],[0.7926623821258545],[0.7983815670013428],[0.9577346444129944],[0.7450606822967529],[0.7952695488929749],[0.32749298214912415],[0.9458240270614624],[0.27552664279937744],[0.6422178149223328],[0.18185316026210785],[0.5691624283790588]
1,,[0.9192036986351013],[0.8039245009422302],[0.7590722441673279],[0.9433427453041077],[0.9221236109733582],[0.7761270999908447],[0.9529174566268921],[0.9270036220550537],[0.7764405608177185],[0.8095888495445251],[0.8299287557601929],[0.7672001719474792],[0.8792830109596252],[0.9522372484207153],[0.9533832669258118],[0.9086702466011047],[0.9526171088218689],[0.9530028700828552],[0.8955823183059692],[0.9513950347900391],[0.9530307650566101],[0.3538650870323181],[0.7090083360671997],[0.4584587514400482]
2,,[0.7622376084327698],[0.9526013135910034],[0.5801851153373718],[0.957792341709137],[0.9643678069114685],[0.5801424980163574],[0.9579238891601562],[0.9613978266716003],[0.5804215669631958],[0.9641185402870178],[0.7698289752006531],[0.5797280073165894],[0.954947292804718],[0.9568811655044556],[0.9516373872756958],[0.9545378088951111],[0.9567862153053284],[0.9522802829742432],[0.8982968926429749],[0.9437152743339539],[0.9460368752479553],[0.6789311170578003],[0.7509908676147461],[0.7843322157859802]
3,,[0.9353601336479187],[0.9467402100563049],[0.7212408185005188],[0.9078579545021057],[0.946259617805481],[0.7587044835090637],[0.9158597588539124],[0.9421748518943787],[0.7875703573226929],[0.7421368360519409],[0.9475106596946716],[0.728135347366333],[0.9449542164802551],[0.9150059819221497],[0.917026162147522],[0.9443714618682861],[0.9142540097236633],[0.8500388264656067],[0.9236549139022827],[0.8807825446128845],[0.9037017226219177],[0.8157627582550049],[0.9210988879203796],[0.7782291769981384]
4,,[0.7140781879425049],[0.6954052448272705],[0.568967342376709],[0.9226151704788208],[0.773900032043457],[0.6340547204017639],[0.918171763420105],[0.7726085782051086],[0.5773377418518066],[0.9016313552856445],[0.6965407133102417],[0.5519192814826965],[0.6998919248580933],[0.8447182774543762],[0.8723133206367493],[0.6858052611351013],[0.846110999584198],[0.8646653294563293],[0.6818772554397583],[0.8511868119239807],[0.872868001461029],[0.714111864566803],[0.6222809553146362],[0.8466286659240723]
5,,[0.8212896585464478],[0.9703341722488403],[0.7906452417373657],[0.9593850374221802],[0.9703124165534973],[0.7938777804374695],[0.9544212222099304],[0.9702454805374146],[0.8096550703048706],[0.8885147571563721],[0.9711655378341675],[0.7908396124839783],[0.9047670364379883],[0.9611250758171082],[0.9702987670898438],[0.8810909986495972],[0.9646206498146057],[0.9692494869232178],[0.7872698307037354],[0.8902587890625],[0.9629729986190796],[0.17559176683425903],[0.19490429759025574],[0.28137660026550293]
6,,[0.9579047560691833],[0.9590089917182922],[0.6394901871681213],[0.9581964015960693],[0.9588634967803955],[0.62945157289505],[0.9582397937774658],[0.9587719440460205],[0.7188894748687744],[0.8197224140167236],[0.9591572880744934],[0.6279196739196777],[0.9277045130729675],[0.9577186107635498],[0.9591688513755798],[0.9234694838523865],[0.9574183821678162],[0.9586526155471802],[0.7495633959770203],[0.9427845478057861],[0.9553033113479614],[0.8178083896636963],[0.8708600997924805],[0.8651549220085144]
7,,[0.9689167141914368],[0.975277841091156],[0.7334277033805847],[0.9626768231391907],[0.9707539677619934],[0.7348207831382751],[0.966838538646698],[0.9748377203941345],[0.7334942817687988],[0.9665167331695557],[0.9758511781692505],[0.7333018183708191],[0.4763486683368683],[0.9561409950256348],[0.9656656980514526],[0.31331852078437805],[0.9595126509666443],[0.9488025307655334],[0.32531508803367615],[0.9577791094779968],[0.959796667098999],[0.16223806142807007],[0.8219221830368042],[0.8609732985496521]
8,,[0.8845207691192627],[0.7611650228500366],[0.5986406803131104],[0.8855570554733276],[0.8570197820663452],[0.6067324876785278],[0.8868492245674133],[0.8702436685562134],[0.6683585047721863],[0.8871040940284729],[0.7783082127571106],[0.5993464589118958],[0.8861774802207947],[0.8868162631988525],[0.8910204172134399],[0.8876894116401672],[0.8861351013183594],[0.8907570838928223],[0.7612835764884949],[0.8865521550178528],[0.8952758312225342],[0.8966140151023865],[0.9177241921424866],[0.9236816167831421]
9,,[0.4391198754310608],[0.739285409450531],[0.5966207385063171],[0.9291393756866455],[0.7411588430404663],[0.6326912641525269],[0.924163281917572],[0.7434834837913513],[0.6427210569381714],[0.9383442997932434],[0.7426557540893555],[0.5970315337181091],[0.9046127796173096],[0.7692760229110718],[0.7847649455070496],[0.8711568713188171],[0.8758555054664612],[0.7782058715820312],[0.9048990607261658],[0.7798882126808167],[0.7856733798980713],[0.7455514669418335],[0.6218134760856628],[0.6958091259002686]
