,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
0,,[0.9636588096618652],[0.9422095417976379],[0.8037341237068176],[0.8692076802253723],[0.9626807570457458],[0.8014051914215088],[0.8135319352149963],[0.9693948030471802],[0.8089419603347778],[0.799933910369873],[0.6322319507598877],[0.8036598563194275],[0.80068439245224],[0.9607077836990356],[0.8295903205871582],[0.800292432308197],[0.9622225761413574],[0.8284496665000916],[0.6881933212280273],[0.7980750203132629],[0.6538369059562683],[0.7995957732200623],[0.3576054871082306],[0.29894888401031494]
1,,[0.942794680595398],[0.9352534413337708],[0.7754337787628174],[0.8983043432235718],[0.9492968916893005],[0.7763696312904358],[0.8522624373435974],[0.95065838098526],[0.7993374466896057],[0.9440636038780212],[0.7373340129852295],[0.7755964994430542],[0.9529271721839905],[0.9393290877342224],[0.9109532237052917],[0.9529217481613159],[0.9397689700126648],[0.9171155691146851],[0.9513527154922485],[0.9013415575027466],[0.6817994117736816],[0.875667154788971],[0.16662649810314178],[0.8165650963783264]
2,,[0.9645272493362427],[0.9538377523422241],[0.5788310766220093],[0.9625393152236938],[0.9561184048652649],[0.5793851613998413],[0.9573709964752197],[0.9571772217750549],[0.5801584720611572],[0.9544200301170349],[0.9165109992027283],[0.5791372060775757],[0.9579089283943176],[0.9458308219909668],[0.9558519124984741],[0.9573596715927124],[0.9470211267471313],[0.9560530781745911],[0.9285631775856018],[0.9260667562484741],[0.868781566619873],[0.9591638445854187],[0.9437952637672424],[0.9526260495185852]
3,,[0.9439445734024048],[0.8961177468299866],[0.6521043181419373],[0.938926100730896],[0.8904362916946411],[0.6637479066848755],[0.9409579038619995],[0.910959780216217],[0.6986261606216431],[0.943209171295166],[0.7302955389022827],[0.674192488193512],[0.9116883873939514],[0.9484198689460754],[0.9143916964530945],[0.9121828079223633],[0.9510148763656616],[0.932989239692688],[0.9112964272499084],[0.9510346055030823],[0.9163403511047363],[0.516453742980957],[0.6592415571212769],[0.4603620171546936]
4,,[0.570448100566864],[0.2604218125343323],[0.5516846776008606],[0.707430899143219],[0.9211360812187195],[0.550537109375],[0.7916443347930908],[0.9358235001564026],[0.5522385239601135],[0.7932419180870056],[0.8955609798431396],[0.5508005619049072],[0.9083925485610962],[0.7499456405639648],[0.7916793823242188],[0.904133677482605],[0.7799566388130188],[0.6756376624107361],[0.8996247053146362],[0.6466847062110901],[0.6590297222137451],[0.9051533937454224],[0.8003326058387756],[0.6853861212730408]
5,,[0.9664708971977234],[0.8842296600341797],[0.7899025678634644],[0.9680941104888916],[0.9403946995735168],[0.8228423595428467],[0.9685543179512024],[0.9519174695014954],[0.8891099691390991],[0.9662700295448303],[0.8911455273628235],[0.7903066873550415],[0.9669735431671143],[0.9218733310699463],[0.9561097621917725],[0.965221643447876],[0.896860659122467],[0.9576236605644226],[0.9171830415725708],[0.851450502872467],[0.9018474817276001],[0.9290978312492371],[0.8864460587501526],[0.31235402822494507]
6,,[0.9588202834129333],[0.8691801428794861],[0.7412517070770264],[0.9563019275665283],[0.958289623260498],[0.6788825988769531],[0.9587518572807312],[0.9576411843299866],[0.7676737308502197],[0.9591736793518066],[0.8161268830299377],[0.7152611613273621],[0.959092915058136],[0.9623152017593384],[0.9581415057182312],[0.959135890007019],[0.9529637694358826],[0.9581076502799988],[0.9615283012390137],[0.7380421757698059],[0.885155439376831],[0.8942887187004089],[0.6568042635917664],[0.36997535824775696]
7,,[0.9739647507667542],[0.8606184124946594],[0.7457210421562195],[0.9741660952568054],[0.9722861647605896],[0.7412306666374207],[0.9747728109359741],[0.9701911807060242],[0.7790474891662598],[0.9743714332580566],[0.9506192803382874],[0.7452262043952942],[0.9764366745948792],[0.9683748483657837],[0.9690573215484619],[0.976277232170105],[0.964158296585083],[0.9715830087661743],[0.9303869605064392],[0.8949428200721741],[0.6571274995803833],[0.9722033739089966],[0.6125333309173584],[0.9476390480995178]
8,,[0.8872016072273254],[0.8889539837837219],[0.6027370095252991],[0.8835386633872986],[0.8844236731529236],[0.6000252962112427],[0.8867313265800476],[0.8843858242034912],[0.6029050946235657],[0.8873196244239807],[0.8829687833786011],[0.6017810702323914],[0.886816143989563],[0.9097912311553955],[0.8837422728538513],[0.8872930407524109],[0.9100914597511292],[0.8841530680656433],[0.8870734572410583],[0.9112846851348877],[0.8848237991333008],[0.7363301515579224],[0.8304524421691895],[0.5192259550094604]
9,,[0.7481490969657898],[0.9260033369064331],[0.6753435134887695],[0.747426450252533],[0.9534058570861816],[0.6775733828544617],[0.7470877766609192],[0.9572893381118774],[0.6798851490020752],[0.7479552030563354],[0.9563838839530945],[0.6583467125892639],[0.9447780847549438],[0.9337838888168335],[0.9446083307266235],[0.9447857141494751],[0.9359216094017029],[0.9390805959701538],[0.9429622888565063],[0.3346153199672699],[0.33338892459869385],[0.9202962517738342],[0.4531078040599823],[0.36840197443962097]
