,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
0,,[0.007408402394503355],[0.9138355255126953],[0.9195402264595032],[0.007536690216511488],[0.9127649068832397],[0.9197916388511658],[0.007643750868737698],[0.913385808467865],[0.9199584126472473],[0.007454064674675465],[0.9111549854278564],[0.9174503684043884],[0.9209486246109009],[0.9256791472434998],[0.9200209379196167],[0.9231532216072083],[0.9265536665916443],[0.9183245897293091],[0.9312593936920166],[0.9255264401435852],[0.9184952974319458],[0.9125364422798157],[0.9143140316009521],[0.9213131666183472]
1,,[0.15367861092090607],[0.9699046611785889],[0.9636571407318115],[0.1567142754793167],[0.9705268144607544],[0.9603636264801025],[0.25713637471199036],[0.9710994958877563],[0.9623583555221558],[0.15394234657287598],[0.9699910283088684],[0.9639724493026733],[0.970676064491272],[0.9677459597587585],[0.9586185216903687],[0.9679201245307922],[0.9599672555923462],[0.9479659795761108],[0.9587763547897339],[0.9422429800033569],[0.680530309677124],[0.9639158248901367],[0.9574968814849854],[0.38102224469184875]
2,,[0.12953688204288483],[0.895480215549469],[0.5163388848304749],[0.13931922614574432],[0.8991311192512512],[0.8839103579521179],[0.15704745054244995],[0.8964135050773621],[0.8786421418190002],[0.123403400182724],[0.8953943252563477],[0.785744309425354],[0.9012245535850525],[0.8940779566764832],[0.8741949796676636],[0.9009612202644348],[0.8929933309555054],[0.8714237809181213],[0.9001187682151794],[0.8885604739189148],[0.8673378229141235],[0.9028891324996948],[0.8950714468955994],[0.8749237060546875]
3,,[0.0304118562489748],[0.9436246752738953],[0.9342525005340576],[0.030279267579317093],[0.9447667002677917],[0.9335548281669617],[0.030237119644880295],[0.9438344240188599],[0.931727945804596],[0.030512046068906784],[0.9440383315086365],[0.9347964525222778],[0.942039966583252],[0.9342357516288757],[0.9232558012008667],[0.9419060945510864],[0.9342357516288757],[0.9235339760780334],[0.9427234530448914],[0.9346438646316528],[0.9252191781997681],[0.9377540946006775],[0.9274877905845642],[0.8556135296821594]
4,,[0.3456606864929199],[0.607649564743042],[0.9523652791976929],[0.5233621597290039],[0.9218873381614685],[0.9459452033042908],[0.6274119019508362],[0.9579524397850037],[0.9441671967506409],[0.42934584617614746],[0.9576513767242432],[0.9490832686424255],[0.958648145198822],[0.951583206653595],[0.9379556775093079],[0.9588484168052673],[0.9512349367141724],[0.9378929138183594],[0.9580150842666626],[0.955565869808197],[0.9430605173110962],[0.7199572324752808],[0.658538281917572],[0.04823649302124977]
5,,[0.19926583766937256],[0.9337036609649658],[0.9288555979728699],[0.19926291704177856],[0.9367678761482239],[0.9279881119728088],[0.20188792049884796],[0.9369836449623108],[0.9264065623283386],[0.19893144071102142],[0.9331390261650085],[0.9248652458190918],[0.9386013150215149],[0.933237612247467],[0.922971785068512],[0.9380901455879211],[0.9315674901008606],[0.9105473160743713],[0.9342962503433228],[0.9265134930610657],[0.8959735035896301],[0.9275440573692322],[0.8962985873222351],[0.8680834770202637]
6,,[0.01716470532119274],[0.7935013175010681],[0.8956351280212402],[0.0172444935888052],[0.9096676111221313],[0.8933127522468567],[0.02292843721807003],[0.9062240719795227],[0.8915120959281921],[0.01727583073079586],[0.7827194929122925],[0.8961275219917297],[0.9083379507064819],[0.8963108062744141],[0.8863475918769836],[0.9102935194969177],[0.8966480493545532],[0.8875105977058411],[0.9114202857017517],[0.8979192972183228],[0.887791097164154],[0.9017404317855835],[0.8734412789344788],[0.1146496832370758]
7,,[0.03333320468664169],[0.9315488338470459],[0.9133284687995911],[0.037861716002225876],[0.9362926483154297],[0.9140776991844177],[0.08179514855146408],[0.9346355199813843],[0.9129669070243835],[0.033440593630075455],[0.932091474533081],[0.9140639305114746],[0.9304307699203491],[0.9209818840026855],[0.9142960906028748],[0.9312065839767456],[0.9233971834182739],[0.915330171585083],[0.9266655445098877],[0.9299204349517822],[0.9154144525527954],[0.9143579602241516],[0.9062442779541016],[0.8656849265098572]
8,,[0.040879666805267334],[0.9210986495018005],[0.8584573268890381],[0.042746685445308685],[0.9190888404846191],[0.8612605929374695],[0.04507499188184738],[0.9158119559288025],[0.9077123403549194],[0.04071441665291786],[0.9201638102531433],[0.8434285521507263],[0.9351149797439575],[0.9213701486587524],[0.8935394287109375],[0.9272511601448059],[0.9214978218078613],[0.8999138474464417],[0.9315508604049683],[0.915414035320282],[0.8690553903579712],[0.9213610887527466],[0.9026914834976196],[0.8547330498695374]
9,,[0.04403628781437874],[0.9346522092819214],[0.9291867613792419],[0.042395785450935364],[0.9352705478668213],[0.9366068840026855],[0.06577654182910919],[0.9345464110374451],[0.9296180009841919],[0.041917216032743454],[0.9346675872802734],[0.9309971928596497],[0.9352368116378784],[0.9305828213691711],[0.9267657399177551],[0.9352450370788574],[0.9309777617454529],[0.9251182675361633],[0.9356926679611206],[0.930700421333313],[0.9207233786582947],[0.9303451180458069],[0.9232746362686157],[0.9119102358818054]
10,,[0.06065646559000015],[0.060760460793972015],[0.12341012060642242],[0.060763124376535416],[0.06095423176884651],[0.21494656801223755],[0.060766320675611496],[0.06085692346096039],[0.1378592699766159],[0.0606607161462307],[0.060745544731616974],[0.12921424210071564],[0.8472396731376648],[0.7657908797264099],[0.2842223346233368],[0.8515001535415649],[0.7701475620269775],[0.41340258717536926],[0.8099627494812012],[0.706493079662323],[0.10055113583803177],[0.7379243969917297],[0.7642403841018677],[0.6542894840240479]
11,,[0.2967076897621155],[0.897223949432373],[0.8964227437973022],[0.4276901185512543],[0.8968676924705505],[0.895011305809021],[0.7840268015861511],[0.8985799551010132],[0.8864574432373047],[0.26403531432151794],[0.8972800374031067],[0.8966155648231506],[0.9024266600608826],[0.9004958271980286],[0.8962547183036804],[0.9018855690956116],[0.8983282446861267],[0.8877999782562256],[0.9015862345695496],[0.8994700908660889],[0.8933990597724915],[0.9025581479072571],[0.9001134634017944],[0.8988669514656067]
12,,[0.010405512526631355],[0.9156361818313599],[0.8946778774261475],[0.024645987898111343],[0.9300717711448669],[0.9067773222923279],[0.7281754016876221],[0.9345001578330994],[0.9085887670516968],[0.012611965648829937],[0.9242506623268127],[0.8981868624687195],[0.9343733191490173],[0.9169635772705078],[0.8983808159828186],[0.9340156316757202],[0.9160263538360596],[0.8986316919326782],[0.9302074909210205],[0.9161643981933594],[0.8990518450737],[0.932939887046814],[0.9134246706962585],[0.8933072090148926]
