,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
0,,[0.9180156588554382],[0.9090909361839294],[0.010665135458111763],[0.9169712662696838],[0.9117792248725891],[0.9092673659324646],[0.9146149754524231],[0.923771321773529],[0.909887969493866],[0.9180156588554382],[0.908646821975708],[0.010955829173326492],[0.9176717400550842],[0.9263266324996948],[0.915320634841919],[0.9189754128456116],[0.9292214512825012],[0.9113060235977173],[0.9226750135421753],[0.9168316721916199],[0.9111328125],[0.9291989803314209],[0.9098039269447327],[0.9120932221412659]
1,,[0.9730919599533081],[0.9779211282730103],[0.15468133985996246],[0.9724013805389404],[0.9758540391921997],[0.15914729237556458],[0.9719570875167847],[0.9775204062461853],[0.46592164039611816],[0.9717470407485962],[0.9779461026191711],[0.15603169798851013],[0.9689892530441284],[0.9743724465370178],[0.9782412648200989],[0.9712279438972473],[0.9752526879310608],[0.9762672781944275],[0.9029176235198975],[0.9678710103034973],[0.9715833067893982],[0.974306583404541],[0.9778213500976562],[0.9780496954917908]
2,,[0.7420397996902466],[0.892102837562561],[0.12341204285621643],[0.7827553153038025],[0.8930810689926147],[0.12326540797948837],[0.7935826182365417],[0.8928766250610352],[0.13566850125789642],[0.7791518568992615],[0.8928649425506592],[0.12347978353500366],[0.8740196824073792],[0.8911475539207458],[0.8981627225875854],[0.8761027455329895],[0.8910750150680542],[0.8981360793113708],[0.8804474472999573],[0.8930947780609131],[0.8999837636947632],[0.6977342963218689],[0.7625564932823181],[0.849532425403595]
3,,[0.9259306788444519],[0.9400278925895691],[0.03257686644792557],[0.9250999093055725],[0.9390863180160522],[0.031234802678227425],[0.9183647036552429],[0.9347798228263855],[0.031123004853725433],[0.9253770112991333],[0.9398782253265381],[0.03349528834223747],[0.9201865792274475],[0.9291399121284485],[0.9405802488327026],[0.9179434180259705],[0.9278827905654907],[0.9398629665374756],[0.9192063212394714],[0.9290024638175964],[0.9400278925895691],[0.9251999258995056],[0.9350351095199585],[0.9436726570129395]
4,,[0.9622151255607605],[0.5462415814399719],[0.30810078978538513],[0.9633170962333679],[0.5007753968238831],[0.3100154399871826],[0.9600500464439392],[0.9654224514961243],[0.4616350829601288],[0.959943413734436],[0.5215571522712708],[0.3084157109260559],[0.957764208316803],[0.964645504951477],[0.9690297245979309],[0.9577072262763977],[0.9652230143547058],[0.969346821308136],[0.9573415517807007],[0.9637916088104248],[0.9673104882240295],[0.9560858011245728],[0.9626297354698181],[0.9671401977539062]
5,,[0.9369455575942993],[0.9344958662986755],[0.20080383121967316],[0.9386102557182312],[0.9323220252990723],[0.20103543996810913],[0.9457421898841858],[0.9540650248527527],[0.20134449005126953],[0.937529981136322],[0.9358598589897156],[0.20087459683418274],[0.9370275735855103],[0.9404987692832947],[0.9386278390884399],[0.9372642636299133],[0.9366118311882019],[0.9306020736694336],[0.9378800392150879],[0.9381261467933655],[0.9343487024307251],[0.9391765594482422],[0.941183865070343],[0.940822422504425]
6,,[0.8809760212898254],[0.897811233997345],[0.0174257755279541],[0.8842402696609497],[0.901056170463562],[0.040589798241853714],[0.8775830268859863],[0.8925318717956543],[0.01806432195007801],[0.8812934160232544],[0.8982720375061035],[0.017418498173356056],[0.8787491321563721],[0.8882319927215576],[0.9005701541900635],[0.8785896897315979],[0.8880439400672913],[0.900389552116394],[0.8772979974746704],[0.8876039981842041],[0.8995961546897888],[0.878693163394928],[0.8879820108413696],[0.9013888835906982]
7,,[0.9107632040977478],[0.9420501589775085],[0.03442956879734993],[0.9112072587013245],[0.9221247434616089],[0.07744252681732178],[0.9075907468795776],[0.9163539409637451],[0.9374337196350098],[0.9098670482635498],[0.9362303614616394],[0.03471960499882698],[0.91092848777771],[0.9267768859863281],[0.9438189268112183],[0.91120445728302],[0.92845219373703],[0.944538414478302],[0.9043797850608826],[0.9138662815093994],[0.9221120476722717],[0.895122230052948],[0.9108777642250061],[0.9212433099746704]
8,,[0.9059821367263794],[0.9251357913017273],[0.03985567390918732],[0.9095104336738586],[0.9274545311927795],[0.039857372641563416],[0.9095776081085205],[0.9249822497367859],[0.044576939195394516],[0.9082435965538025],[0.9263557195663452],[0.0398528128862381],[0.9075988531112671],[0.918204128742218],[0.9313511252403259],[0.9065831899642944],[0.917095422744751],[0.9304119348526001],[0.9116531014442444],[0.9220848679542542],[0.936560332775116],[0.9176544547080994],[0.9279442429542542],[0.9396002292633057]
9,,[0.928555965423584],[0.9344789385795593],[0.04178069531917572],[0.9198229312896729],[0.9306793212890625],[0.06593938171863556],[0.9248831272125244],[0.9287618398666382],[0.30176886916160583],[0.927542507648468],[0.8880400657653809],[0.04174252226948738],[0.921593189239502],[0.9274802803993225],[0.9353833198547363],[0.9215184450149536],[0.9275611042976379],[0.9353885054588318],[0.9211301207542419],[0.9271458983421326],[0.9351308345794678],[0.922081470489502],[0.9270771741867065],[0.935744047164917]
10,,[0.13162550330162048],[0.060744479298591614],[0.06066589429974556],[0.15428192913532257],[0.0822005569934845],[0.06073689088225365],[0.728912353515625],[0.09344905614852905],[0.060776181519031525],[0.1423814594745636],[0.06075632944703102],[0.06066947802901268],[0.7152277827262878],[0.7589614987373352],[0.8352193832397461],[0.7257946133613586],[0.757795512676239],[0.8123284578323364],[0.642054557800293],[0.7009290456771851],[0.802760124206543],[0.7324471473693848],[0.7998852729797363],[0.822510838508606]
11,,[0.4139650762081146],[0.898145854473114],[0.7997194528579712],[0.898404598236084],[0.8999345302581787],[0.797828197479248],[0.8908892869949341],[0.9003570675849915],[0.7963101863861084],[0.7042725682258606],[0.8981952667236328],[0.801122784614563],[0.8958919048309326],[0.9027429819107056],[0.9044275879859924],[0.8801705837249756],[0.8988293409347534],[0.9035847187042236],[0.7208167314529419],[0.8798012733459473],[0.8944604992866516],[0.8427606821060181],[0.8686265349388123],[0.8920891284942627]
