,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
0,,[0.9138686060905457],[0.9232364892959595],[0.006835206877440214],[0.9122806787490845],[0.9233160614967346],[0.014590180478990078],[0.9132553339004517],[0.9218021631240845],[0.9121459722518921],[0.9134241342544556],[0.9223602414131165],[0.006724712438881397],[0.935157060623169],[0.9240374565124512],[0.9237579703330994],[0.917278528213501],[0.9241952300071716],[0.9152542352676392],[0.9305912852287292],[0.9194560647010803],[0.936170220375061],[0.9097188115119934],[0.9160545468330383],[0.3048211634159088]
1,,[0.9713338613510132],[0.7489079833030701],[0.15366633236408234],[0.9711185097694397],[0.7235636115074158],[0.1536841094493866],[0.9712612628936768],[0.9292088150978088],[0.15983490645885468],[0.9706065058708191],[0.7013823390007019],[0.15384867787361145],[0.973819375038147],[0.9637039303779602],[0.9689748883247375],[0.9735134243965149],[0.9617257714271545],[0.9681786894798279],[0.9675162434577942],[0.9391883015632629],[0.9618613719940186],[0.8032240271568298],[0.7285017371177673],[0.7753564119338989]
2,,[0.890844464302063],[0.5431166291236877],[0.18601959943771362],[0.8902245759963989],[0.7533444166183472],[0.3802435100078583],[0.8935336470603943],[0.8699637055397034],[0.8808849453926086],[0.8904319405555725],[0.7680029273033142],[0.12625932693481445],[0.8947054147720337],[0.8766255378723145],[0.8900322914123535],[0.8935776948928833],[0.8712450861930847],[0.8891080617904663],[0.8929756879806519],[0.8649346232414246],[0.8885355591773987],[0.8951223492622375],[0.8817477822303772],[0.8903719782829285]
3,,[0.9357470870018005],[0.9211650490760803],[0.029664838686585426],[0.9314541816711426],[0.9203264713287354],[0.029069306328892708],[0.930357813835144],[0.9163957834243774],[0.06294627487659454],[0.93669593334198],[0.9215838313102722],[0.02951761893928051],[0.9322923421859741],[0.9168183207511902],[0.9271557331085205],[0.9327021241188049],[0.9169590473175049],[0.9272937774658203],[0.933657169342041],[0.918925940990448],[0.9293785095214844],[0.9289842247962952],[0.9165366888046265],[0.9271932244300842]
4,,[0.4706752300262451],[0.9563336968421936],[0.30845609307289124],[0.5203551054000854],[0.9563385844230652],[0.31099456548690796],[0.5264376401901245],[0.9544993042945862],[0.3148789703845978],[0.46858781576156616],[0.955080509185791],[0.3083098232746124],[0.963620126247406],[0.9498175978660583],[0.9635502696037292],[0.9642528891563416],[0.9501367211341858],[0.9632478356361389],[0.9638332724571228],[0.9463059306144714],[0.9606552124023438],[0.9664639234542847],[0.9542336463928223],[0.9652310013771057]
5,,[0.9294639229774475],[0.9327249526977539],[0.2013620138168335],[0.9265817999839783],[0.9323269724845886],[0.20133355259895325],[0.9358530640602112],[0.9377355575561523],[0.20161029696464539],[0.9308924674987793],[0.9317517876625061],[0.20146577060222626],[0.932047426700592],[0.9307482838630676],[0.935638964176178],[0.9259822964668274],[0.9323054552078247],[0.9291773438453674],[0.9324747920036316],[0.895378589630127],[0.9240816235542297],[0.7980113625526428],[0.0743926465511322],[0.10231023281812668]
6,,[0.9028143882751465],[0.8877005577087402],[0.017483152449131012],[0.8979933261871338],[0.8860366940498352],[0.017264308407902718],[0.8979648947715759],[0.8856255412101746],[0.02648964151740074],[0.9018737077713013],[0.8861330151557922],[0.017455073073506355],[0.8913195729255676],[0.8836091160774231],[0.9001390933990479],[0.890666663646698],[0.8826277852058411],[0.8989139795303345],[0.8924068212509155],[0.884935736656189],[0.9014163017272949],[0.893521785736084],[0.8851580023765564],[0.9043333530426025]
7,,[0.9412317276000977],[0.9089910984039307],[0.032777778804302216],[0.9352875351905823],[0.907469630241394],[0.03326917812228203],[0.9422456622123718],[0.9118881225585938],[0.0783049464225769],[0.9408103227615356],[0.9089245200157166],[0.033214397728443146],[0.9458386898040771],[0.909722626209259],[0.9289212822914124],[0.9456984400749207],[0.9107958078384399],[0.9303322434425354],[0.9294837713241577],[0.904893159866333],[0.9153487086296082],[0.9412316679954529],[0.9071245193481445],[0.9208052158355713]
8,,[0.9157110452651978],[0.8427993655204773],[0.04069821536540985],[0.9294915795326233],[0.9090169668197632],[0.04013374447822571],[0.7295149564743042],[0.927505612373352],[0.05615830421447754],[0.9162688851356506],[0.8425359725952148],[0.039962608367204666],[0.9366834759712219],[0.8982709646224976],[0.9146981239318848],[0.9367044568061829],[0.8980152010917664],[0.9151510000228882],[0.9231653809547424],[0.8717804551124573],[0.9060418009757996],[0.9159389138221741],[0.8512219786643982],[0.8758272528648376]
9,,[0.6293396949768066],[0.9276687502861023],[0.04273131117224693],[0.9267656803131104],[0.9292787909507751],[0.49487316608428955],[0.931327760219574],[0.9234960675239563],[0.8701104521751404],[0.6599130630493164],[0.9281404614448547],[0.04391099885106087],[0.9306773543357849],[0.9212862849235535],[0.9314063787460327],[0.9314258694648743],[0.9214637279510498],[0.9320172071456909],[0.9228672385215759],[0.9053716659545898],[0.9194421768188477],[0.9299767017364502],[0.9172582030296326],[0.9255614876747131]
10,,[0.07113815099000931],[0.16531549394130707],[0.0607193261384964],[0.06629255414009094],[0.14884015917778015],[0.06070695444941521],[0.06773687154054642],[0.23999065160751343],[0.060728371143341064],[0.06547331064939499],[0.12356875091791153],[0.06070549413561821],[0.825721025466919],[0.624893307685852],[0.8168177008628845],[0.814113438129425],[0.7138287425041199],[0.8153938055038452],[0.8162457346916199],[0.6445649266242981],[0.8060683012008667],[0.7448381781578064],[0.6144850254058838],[0.7751125693321228]
11,,[0.897048830986023],[0.5004011392593384],[0.806476354598999],[0.8970114588737488],[0.8941671848297119],[0.8123801350593567],[0.8032627701759338],[0.8976099491119385],[0.8296647667884827],[0.8961132168769836],[0.5952674746513367],[0.8080896139144897],[0.9028832912445068],[0.8969573378562927],[0.9004587531089783],[0.9006127119064331],[0.8949196338653564],[0.8986279368400574],[0.8766253590583801],[0.847769021987915],[0.8648214936256409],[0.8737829923629761],[0.7220039367675781],[0.8648069500923157]
12,,[0.9260416626930237],[0.9238688945770264],[0.13678152859210968],[0.9341034293174744],[0.923827588558197],[0.8834296464920044],[0.932239294052124],[0.9234527945518494],[0.8843833208084106],[0.9322167038917542],[0.924160361289978],[0.8122367262840271],[0.9358090162277222],[0.9214830994606018],[0.9267765283584595],[0.9361816048622131],[0.9188302755355835],[0.9258256554603577],[0.9357066750526428],[0.9191256761550903],[0.9264069199562073],[0.9356131553649902],[0.9187414646148682],[0.9258658289909363]
13,,[0.8726216554641724],[0.9291534423828125],[0.25477567315101624],[0.8626407980918884],[0.9297372102737427],[0.25328031182289124],[0.8571244478225708],[0.9303125739097595],[0.2509603202342987],[0.8721259832382202],[0.9292384386062622],[0.25459086894989014],[0.9330840706825256],[0.9290069937705994],[0.9316841959953308],[0.9335994124412537],[0.9289057850837708],[0.9317651987075806],[0.8951900005340576],[0.9302937388420105],[0.9300490617752075],[0.891074001789093],[0.6938803791999817],[0.8559123873710632]
14,,[0.9183812141418457],[0.8836882710456848],[0.044736869633197784],[0.9165911078453064],[0.8821596503257751],[0.06422652304172516],[0.9167611598968506],[0.8795294165611267],[0.8592870831489563],[0.9171571135520935],[0.8806951642036438],[0.0467890202999115],[0.9210644960403442],[0.8904396295547485],[0.917535126209259],[0.9210644960403442],[0.8906976580619812],[0.917535126209259],[0.921135663986206],[0.887852668762207],[0.9168742895126343],[0.9207137823104858],[0.9039521813392639],[0.9214447140693665]
15,,[0.9013047218322754],[0.36606138944625854],[0.023296967148780823],[0.8982654213905334],[0.888840913772583],[0.027139630168676376],[0.905229389667511],[0.8886975049972534],[0.45374584197998047],[0.9021964073181152],[0.6187249422073364],[0.02343013882637024],[0.9140978455543518],[0.8801392316818237],[0.9019732475280762],[0.9185395836830139],[0.8826209306716919],[0.9027954339981079],[0.9092221856117249],[0.8811524510383606],[0.8989361524581909],[0.9009009003639221],[0.8880975246429443],[0.901393711566925]
16,,[0.9599769711494446],[0.9463740587234497],[0.07359125465154648],[0.9569368958473206],[0.9422836303710938],[0.0719350278377533],[0.9587973356246948],[0.9453052282333374],[0.07553020119667053],[0.9586840271949768],[0.9445653557777405],[0.07321906834840775],[0.9588560461997986],[0.9413929581642151],[0.9516160488128662],[0.9586979746818542],[0.9410523176193237],[0.9513083100318909],[0.9585528373718262],[0.93951016664505],[0.9511851668357849],[0.9586545825004578],[0.9308182597160339],[0.9523717164993286]
17,,[0.1290036290884018],[0.009972349740564823],[0.09699591249227524],[0.10070975124835968],[0.1775805652141571],[0.09701048582792282],[0.10888500511646271],[0.1835782378911972],[0.09704437106847763],[0.1533089131116867],[0.21909074485301971],[0.09705166518688202],[0.8447083830833435],[0.13380339741706848],[0.7433330416679382],[0.823903501033783],[0.13963964581489563],[0.6583831310272217],[0.8040443658828735],[0.13783586025238037],[0.8289855122566223],[0.6776183843612671],[0.13785046339035034],[0.5784115195274353]
18,,[0.8867687582969666],[0.852489173412323],[0.039224039763212204],[0.8878539800643921],[0.8137800097465515],[0.8801520466804504],[0.8918073773384094],[0.8384186625480652],[0.8891057968139648],[0.8692651987075806],[0.7677109837532043],[0.890870213508606],[0.89918053150177],[0.8552100658416748],[0.8763277530670166],[0.8991825580596924],[0.856512725353241],[0.8766881227493286],[0.9106104373931885],[0.8694422841072083],[0.8861361145973206],[0.89056795835495],[0.7760358452796936],[0.8404607176780701]
19,,[0.024552226066589355],[0.0965980514883995],[0.0243586003780365],[0.0291836429387331],[0.683785080909729],[0.024353638291358948],[0.03131100907921791],[0.7973504662513733],[0.02436874248087406],[0.02875039540231228],[0.680657148361206],[0.024359678849577904],[0.8967618942260742],[0.7787767648696899],[0.8735864162445068],[0.8928852081298828],[0.77031409740448],[0.8566778302192688],[0.7956693768501282],[0.7832338213920593],[0.8995363116264343],[0.7702265381813049],[0.8032615780830383],[0.7680100798606873]
20,,[0.8679497241973877],[0.4609184265136719],[0.04722818732261658],[0.8820967674255371],[0.8658888339996338],[0.04639457166194916],[0.8844139575958252],[0.8710200786590576],[0.03666505962610245],[0.8698370456695557],[0.6683688759803772],[0.04719429835677147],[0.8849819302558899],[0.8626546263694763],[0.8747199773788452],[0.8869678974151611],[0.8630360960960388],[0.8745228052139282],[0.8852472305297852],[0.8656516671180725],[0.8820939064025879],[0.8361802101135254],[0.1316617876291275],[0.12706585228443146]
21,,[0.8326990604400635],[0.8871006965637207],[0.03356431797146797],[0.8308973908424377],[0.8857372999191284],[0.033658724278211594],[0.8290417790412903],[0.8891030550003052],[0.06081464886665344],[0.8330150842666626],[0.887279748916626],[0.03356229141354561],[0.9018045663833618],[0.8803889751434326],[0.8964968323707581],[0.9001798033714294],[0.8796626925468445],[0.8960356712341309],[0.8926399946212769],[0.8735820055007935],[0.8862959742546082],[0.8955129384994507],[0.8736497759819031],[0.8924060463905334]
22,,[0.5193530917167664],[0.8797672986984253],[0.023087531328201294],[0.503602147102356],[0.8792773485183716],[0.023100636899471283],[0.5053265690803528],[0.8790726661682129],[0.023135963827371597],[0.5220363736152649],[0.8786736726760864],[0.023081062361598015],[0.8835092186927795],[0.8805630803108215],[0.8715913891792297],[0.8750255107879639],[0.881079912185669],[0.862407386302948],[0.8741762042045593],[0.869935154914856],[0.8611886501312256],[0.884154200553894],[0.8396258354187012],[0.8841657638549805]
23,,[0.6943272948265076],[0.8079060912132263],[0.014985817484557629],[0.641697883605957],[0.8081514835357666],[0.014986244961619377],[0.8366062641143799],[0.8076606392860413],[0.015010212548077106],[0.6807661652565002],[0.8079060912132263],[0.014989587478339672],[0.8356769680976868],[0.8037189841270447],[0.8552890419960022],[0.836611807346344],[0.8032244443893433],[0.8563003540039062],[0.8314199447631836],[0.8039661049842834],[0.8502568006515503],[0.8331656455993652],[0.8039661049842834],[0.852523684501648]
24,,[0.7971819043159485],[0.8623493313789368],[0.006908784154802561],[0.8928665518760681],[0.8623391389846802],[0.006920948624610901],[0.8860145807266235],[0.8626465797424316],[0.0138662438839674],[0.8947886228561401],[0.8617886304855347],[0.006909081246703863],[0.872305154800415],[0.8605241179466248],[0.8860214948654175],[0.8741722106933594],[0.8606026768684387],[0.8881737589836121],[0.8629868030548096],[0.8564131855964661],[0.8730769157409668],[0.8855803608894348],[0.8644211888313293],[0.9428215026855469]
25,,[0.9404131770133972],[0.9385026693344116],[0.12702910602092743],[0.9469277262687683],[0.9385561347007751],[0.12120795249938965],[0.9465082287788391],[0.9386699795722961],[0.20855514705181122],[0.940995454788208],[0.9373419880867004],[0.12681490182876587],[0.9480782747268677],[0.9329065680503845],[0.9424012899398804],[0.9485321640968323],[0.9306342601776123],[0.9413472414016724],[0.9426695108413696],[0.9233935475349426],[0.9344492554664612],[0.9409454464912415],[0.9244256615638733],[0.9366012811660767]
