dataset,model,prediction,cp,rc,rs3,rs5,bb,bbs_05,bbs_1,bbs_2
CVC,vit-h,max,0.8380988908,0.8536987106,0.8835364431,0.89847477,0.940414273,0.93846653,0.9342669792,0.8893159043
CVC,vit-l,max,0.8146603374,0.822783317,0.8483620396,0.8472854486,0.9344112644,0.9308071421,0.9196532884,0.8694919736
CVC,vit-b,max,0.7385565906,0.7492232576,0.7829930155,0.7844248192,0.932285118,0.9296091709,0.9209969627,0.8511830812
CXRkaggle,vit-h,max,0.921704783,0.9023401265,0.9279914394,0.936384572,0.9517319399,0.9499987952,0.9423117767,0.8617437398
CXRkaggle,vit-l,max,0.9290427746,0.916693729,0.9317656253,0.9296291844,0.9538921401,0.9520119444,0.9429312977,0.8492438556
CXRkaggle,vit-b,max,0.9146968998,0.8925430014,0.9299695738,0.9349341587,0.9476965757,0.9432334935,0.9319755112,0.8575399638
HAM,vit-h,max,0.7820412983,0.7641849615,0.811927392,0.824412846,0.8699287683,0.8661107226,0.8569440797,0.8196838429
HAM,vit-l,max,0.7839630663,0.7718156795,0.8093821294,0.8185716751,0.8669387538,0.8638796819,0.8540253956,0.8091931935
HAM,vit-b,max,0.745274802,0.7063209744,0.7854438208,0.7958275709,0.8720592426,0.8674563597,0.8553022755,0.8102262751
ISIC,vit-h,max,0.7875643218,0.7678581576,0.8201965351,0.8353436337,0.8773046033,0.8738626345,0.8657681921,0.8292627401
ISIC,vit-l,max,0.7825496537,0.7683353516,0.8113932027,0.8182957877,0.8756176302,0.8722539403,0.8635072517,0.8186916294
ISIC,vit-b,max,0.7637107692,0.7329916692,0.804398893,0.8147001601,0.8789964118,0.8756837405,0.8637554486,0.8222643966
hipfemur,vit-h,max,0.9064212205,0.9169134138,0.9432289336,0.9502099821,0.9733615611,0.9730647151,0.9571230122,0.8613868454
hipfemur,vit-l,max,0.9103042106,0.9158565398,0.9393934165,0.9477314187,0.973426867,0.9729869791,0.956142526,0.8796791998
hipfemur,vit-b,max,0.9267419617,0.8824119759,0.9099310509,0.9073811999,0.9708350718,0.968573291,0.9501010377,0.8701647898
hipilios,vit-h,max,0.4829055347,0.7859742986,0.8080177507,0.8283265046,0.8893209883,0.886255177,0.8431855381,0.7189577825
hipilios,vit-l,max,0.4778522466,0.8411808316,0.86485174,0.8598489131,0.89429138,0.8890183734,0.8387385344,0.7262467449
hipilios,vit-b,max,0.5004752391,0.7646251498,0.8254204197,0.8295172968,0.8748578629,0.8702659837,0.8382497619,0.6956903696
mamoUS,vit-h,max,0.7321976198,0.7059756053,0.7907435286,0.8158593306,0.8699592358,0.8676660033,0.8551779417,0.8132110938
mamoUS,vit-l,max,0.7436164176,0.7272777147,0.7998909417,0.8066485487,0.8748638118,0.8721748615,0.8652169594,0.8103604934
mamoUS,vit-b,max,0.7339964475,0.7010403385,0.8043348504,0.8184861766,0.8863423177,0.884026028,0.8736789138,0.8312824047
