,image,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
0,,[0.32056769728660583],[0.3898617625236511],[0.6589598655700684],[0.32043930888175964],[0.7587796449661255],[0.41005751490592957],[0.32107704877853394],[0.35637882351875305],[0.8040809035301208],[0.3191980719566345],[0.7923709750175476],[0.3059845268726349],[0.7952389121055603],[0.6741763949394226],[0.42467430233955383],[0.796415388584137],[0.6791720986366272],[0.4229568541049957],[0.6342211365699768],[0.7690702676773071],[0.4291599988937378],[0.702765941619873],[0.733731210231781],[0.42057690024375916]
1,,[0.36711376905441284],[0.41216951608657837],[0.8730396628379822],[0.3678489923477173],[0.3661750853061676],[0.8929494619369507],[0.3675895035266876],[0.3710901439189911],[0.9494264721870422],[0.36883482336997986],[0.8972753882408142],[0.0030489463824778795],[0.9401898980140686],[0.9192765951156616],[0.895828366279602],[0.9298845529556274],[0.906691312789917],[0.8912085890769958],[0.9389998316764832],[0.9218804836273193],[0.9012242555618286],[0.9401254057884216],[0.8859445452690125],[0.8423625230789185]
2,,[0.18575970828533173],[0.4693162739276886],[0.9570348858833313],[0.1869020313024521],[0.9553099870681763],[0.9511381983757019],[0.18723270297050476],[0.9578673243522644],[0.9462882280349731],[0.9521299600601196],[0.09303554892539978],[0.027610715478658676],[0.9522004723548889],[0.9583273530006409],[0.9254838228225708],[0.9505116939544678],[0.9562857151031494],[0.9250389337539673],[0.9438871741294861],[0.924254834651947],[0.8693208694458008],[0.9496051669120789],[0.9382715821266174],[0.8773922324180603]
3,,[0.20365118980407715],[0.6385338306427002],[0.9642458558082581],[0.20172211527824402],[0.9629297852516174],[0.9672827124595642],[0.2029286026954651],[0.9711955189704895],[0.963494062423706],[0.20168761909008026],[0.4220438301563263],[0.9664069414138794],[0.97068190574646],[0.9679911136627197],[0.9519633054733276],[0.9702725410461426],[0.9676447510719299],[0.9515389204025269],[0.9704849720001221],[0.9676362872123718],[0.9517856240272522],[0.7862865924835205],[0.7493832111358643],[0.2017231434583664]
4,,[0.20023904740810394],[0.49546197056770325],[0.96747225522995],[0.2011415809392929],[0.9689851999282837],[0.9652418494224548],[0.20776037871837616],[0.968636155128479],[0.9637952446937561],[0.20072413980960846],[0.5738059878349304],[0.9674637317657471],[0.9686402082443237],[0.9662171006202698],[0.9506583213806152],[0.968300461769104],[0.9659463167190552],[0.950093150138855],[0.9587846994400024],[0.9476503133773804],[0.9207308888435364],[0.9686180353164673],[0.9673287868499756],[0.9511919617652893]
5,,[0.23771974444389343],[0.9787188768386841],[0.9719182848930359],[0.23764140903949738],[0.9765675067901611],[0.9640295505523682],[0.2397889941930771],[0.9716655611991882],[0.9584769606590271],[0.2379288673400879],[0.978450357913971],[0.9711387753486633],[0.9781854748725891],[0.9731850028038025],[0.9642061591148376],[0.9796570539474487],[0.9745185375213623],[0.9635385274887085],[0.9769752621650696],[0.9708800911903381],[0.9616348743438721],[0.9758552312850952],[0.968635082244873],[0.958802342414856]
6,,[0.28853854537010193],[0.7849705815315247],[0.9329543113708496],[0.29140546917915344],[0.7657347917556763],[0.9465103149414062],[0.28970110416412354],[0.3498346209526062],[0.9114900231361389],[0.5944244265556335],[0.0724606141448021],[0.06951715797185898],[0.9522543549537659],[0.9476861953735352],[0.7987115979194641],[0.9360930919647217],[0.948910653591156],[0.8715425729751587],[0.9508715271949768],[0.9477168917655945],[0.8659271001815796],[0.8049898147583008],[0.7917368412017822],[0.5690140724182129]
7,,[0.5868004560470581],[0.016211966052651405],[0.008622783236205578],[0.3393568694591522],[0.38074439764022827],[0.5828490257263184],[0.34049656987190247],[0.4042515158653259],[0.9462572336196899],[0.33903464674949646],[0.366413950920105],[0.8366460204124451],[0.9565959572792053],[0.9581917524337769],[0.9303003549575806],[0.9416382312774658],[0.9572638869285583],[0.8874561190605164],[0.9164122939109802],[0.9558837413787842],[0.9109094142913818],[0.9377812147140503],[0.9345871806144714],[0.006609776522964239]
8,,[0.30945631861686707],[0.896250307559967],[0.6292394399642944],[0.30575376749038696],[0.3261367082595825],[0.8432566523551941],[0.30557772517204285],[0.3175511062145233],[0.831070601940155],[0.30708593130111694],[0.46869784593582153],[0.6624554395675659],[0.9303194880485535],[0.9245840311050415],[0.8404592871665955],[0.9326499104499817],[0.9098271131515503],[0.8201228976249695],[0.8806056380271912],[0.7341197729110718],[0.10602385550737381],[0.7931625843048096],[0.6195186972618103],[0.024101126939058304]
9,,[0.4144228994846344],[0.4153583347797394],[0.6891809105873108],[0.4147205650806427],[0.4292585551738739],[0.911862313747406],[0.41494542360305786],[0.4184832274913788],[0.7805084586143494],[0.4142341613769531],[0.41531240940093994],[0.8659084439277649],[0.9399101138114929],[0.9523648619651794],[0.926301896572113],[0.9400027394294739],[0.9495279788970947],[0.9184901714324951],[0.8659120202064514],[0.87200528383255],[0.8992629051208496],[0.8478245139122009],[0.8717686533927917],[0.009081866592168808]
10,,[0.9319111704826355],[0.011655363254249096],[0.0035310734529048204],[0.39894363284111023],[0.525911808013916],[0.9672263264656067],[0.39915040135383606],[0.5479736328125],[0.9693729877471924],[0.3986116051673889],[0.546169638633728],[0.9578665494918823],[0.9727144241333008],[0.9589091539382935],[0.9240684509277344],[0.9713048338890076],[0.9538818001747131],[0.9103679060935974],[0.9710619449615479],[0.9572147727012634],[0.923389732837677],[0.8640682697296143],[0.8485603332519531],[0.04865115135908127]
11,,[0.8741896748542786],[0.01114510465413332],[0.004932317417114973],[0.37525829672813416],[0.5295769572257996],[0.9665650129318237],[0.3766898512840271],[0.5349017977714539],[0.9661830067634583],[0.37397682666778564],[0.5205034613609314],[0.9319151639938354],[0.9742435812950134],[0.9687244296073914],[0.9149670004844666],[0.9742392897605896],[0.9684513211250305],[0.9074623584747314],[0.9669239521026611],[0.9609233140945435],[0.9073946475982666],[0.9748931527137756],[0.9671306014060974],[0.9228951334953308]
12,,[0.3553830087184906],[0.5998780727386475],[0.1203988566994667],[0.35539036989212036],[0.3544372320175171],[0.7390369772911072],[0.35491734743118286],[0.35460329055786133],[0.7195751070976257],[0.35515543818473816],[0.35386595129966736],[0.744030773639679],[0.9256516098976135],[0.9016088247299194],[0.8176030516624451],[0.9313308596611023],[0.8865156173706055],[0.822977602481842],[0.9097771048545837],[0.9144454002380371],[0.8159264326095581],[0.8417068719863892],[0.837959349155426],[0.811079740524292]
13,,[0.48567497730255127],[0.9589980244636536],[0.6368373036384583],[0.4865318238735199],[0.7364662885665894],[0.9561211466789246],[0.48654434084892273],[0.9066784977912903],[0.9564932584762573],[0.48538535833358765],[0.6550397872924805],[0.9486777782440186],[0.9758655428886414],[0.9638181924819946],[0.9105885624885559],[0.9773541688919067],[0.9631061553955078],[0.903407871723175],[0.9713724255561829],[0.9399355053901672],[0.8827970623970032],[0.8904642462730408],[0.9684181213378906],[0.9376259446144104]
14,,[0.48880618810653687],[0.9454968571662903],[0.9419771432876587],[0.4899477958679199],[0.6759324669837952],[0.9473727345466614],[0.48940420150756836],[0.9261132478713989],[0.9449691772460938],[0.489176869392395],[0.834438681602478],[0.9291889667510986],[0.9696083664894104],[0.9514111280441284],[0.8972664475440979],[0.9719786643981934],[0.953403115272522],[0.8810146450996399],[0.9378618001937866],[0.9313253164291382],[0.913823664188385],[0.7994003295898438],[0.748938262462616],[0.13112257421016693]
15,,[0.4908803403377533],[0.9384077191352844],[0.14303746819496155],[0.49167266488075256],[0.7114341855049133],[0.9623165130615234],[0.4912620484828949],[0.7172517776489258],[0.9517658948898315],[0.4912290871143341],[0.7125192284584045],[0.9533176422119141],[0.973426342010498],[0.9668282270431519],[0.9171618819236755],[0.9736872911453247],[0.964940071105957],[0.9006695747375488],[0.9762759804725647],[0.9541980028152466],[0.852268397808075],[0.8986905813217163],[0.8610633611679077],[0.06673083454370499]
16,,[0.4959719777107239],[0.9636064767837524],[0.12407755851745605],[0.494105726480484],[0.7096258401870728],[0.9126026630401611],[0.494204580783844],[0.7086966633796692],[0.9695104956626892],[0.49439385533332825],[0.7098914384841919],[0.9469799995422363],[0.9692304730415344],[0.9629806876182556],[0.901619553565979],[0.9650829434394836],[0.9613014459609985],[0.9011310338973999],[0.934431254863739],[0.8939213156700134],[0.11344995349645615],[0.918418288230896],[0.872922420501709],[0.7932718992233276]
17,,[0.508434534072876],[0.5142740607261658],[0.8625110983848572],[0.5087926983833313],[0.5185328722000122],[0.8589093685150146],[0.5087637901306152],[0.5466219782829285],[0.8576510548591614],[0.5081981420516968],[0.6682911515235901],[0.8535619974136353],[0.8811184167861938],[0.8851585984230042],[0.8788330554962158],[0.8931155800819397],[0.892955482006073],[0.9175841808319092],[0.894499659538269],[0.9102832078933716],[0.6115211844444275],[0.8357698917388916],[0.8048187494277954],[0.7416520714759827]
18,,[0.3116147816181183],[0.3116263151168823],[0.8161701560020447],[0.31226471066474915],[0.3117879629135132],[0.8340567350387573],[0.31233999133110046],[0.3116404712200165],[0.8404708504676819],[0.31149300932884216],[0.3110148012638092],[0.0031255141366273165],[0.7572076320648193],[0.8418614268302917],[0.8612779974937439],[0.748082160949707],[0.8686484098434448],[0.8214845061302185],[0.7399699687957764],[0.8377435207366943],[0.8598937392234802],[0.25128936767578125],[0.16743579506874084],[0.02281988598406315]
19,,[0.32760316133499146],[0.3319360613822937],[0.6816033124923706],[0.3282390236854553],[0.3290490508079529],[0.7529826164245605],[0.32852914929389954],[0.3371971547603607],[0.7513117790222168],[0.32764020562171936],[0.3283664286136627],[0.006352323107421398],[0.8454365134239197],[0.9248972535133362],[0.8049869537353516],[0.9078119397163391],[0.9234738349914551],[0.05270121246576309],[0.7413064241409302],[0.7522265911102295],[0.7413368225097656],[0.8663965463638306],[0.8909952640533447],[0.00731129664927721]
20,,[0.20360763370990753],[0.016323180869221687],[0.0187753364443779],[0.28980499505996704],[0.5936896800994873],[0.6227850317955017],[0.2892268896102905],[0.5900876522064209],[0.9187502264976501],[0.2887541949748993],[0.007520246785134077],[0.003437094623222947],[0.8973250985145569],[0.9426732659339905],[0.7860089540481567],[0.814534068107605],[0.9446306824684143],[0.8830248117446899],[0.8386753797531128],[0.7906268239021301],[0.6614924073219299],[0.7807957530021667],[0.930370569229126],[0.16798394918441772]
21,,[0.3197579085826874],[0.31994232535362244],[0.6304677724838257],[0.31986361742019653],[0.32093408703804016],[0.6757193803787231],[0.3203919529914856],[0.5383661389350891],[0.6740037798881531],[0.3195765018463135],[0.3215233385562897],[0.0077464040368795395],[0.7113986015319824],[0.938339352607727],[0.8296717405319214],[0.7379716038703918],[0.938767671585083],[0.8223759531974792],[0.6056603789329529],[0.9377201795578003],[0.8544067740440369],[0.6474522352218628],[0.6757371425628662],[0.5417229533195496]
22,,[0.27287882566452026],[0.2730419337749481],[0.8908145427703857],[0.27351221442222595],[0.27312642335891724],[0.8924641609191895],[0.27371546626091003],[0.27302348613739014],[0.8965517282485962],[0.2732643783092499],[0.27327826619148254],[0.011279392056167126],[0.8141266107559204],[0.8937864303588867],[0.8897023797035217],[0.7902647852897644],[0.8941541314125061],[0.8912639021873474],[0.8392031788825989],[0.8924057483673096],[0.05455489456653595],[0.8683217167854309],[0.8701854348182678],[0.6905344724655151]
23,,[0.4775831401348114],[0.5100065469741821],[0.9384804964065552],[0.4779638648033142],[0.47633907198905945],[0.6181216835975647],[0.47644591331481934],[0.5132320523262024],[0.8583266735076904],[0.4772794544696808],[0.5029347538948059],[0.939479649066925],[0.9091352820396423],[0.9393518567085266],[0.8773519396781921],[0.7716188430786133],[0.9416840672492981],[0.9254942536354065],[0.7567517161369324],[0.8335162401199341],[0.9321953058242798],[0.45653408765792847],[0.14240460097789764],[0.19569048285484314]
24,,[0.350390762090683],[0.82709139585495],[0.9083865284919739],[0.3519093692302704],[0.6002893447875977],[0.8132600784301758],[0.3521922826766968],[0.789276659488678],[0.8170362114906311],[0.3505555987358093],[0.35145387053489685],[0.8339395523071289],[0.9470222592353821],[0.9430431723594666],[0.9191387891769409],[0.9453589916229248],[0.9421882033348083],[0.91628098487854],[0.949749231338501],[0.9256224632263184],[0.6160798072814941],[0.8314199447631836],[0.8626827001571655],[0.9006155729293823]
25,,[0.3499651849269867],[0.3501987159252167],[0.786346971988678],[0.3504364490509033],[0.6298989653587341],[0.8428468704223633],[0.35109108686447144],[0.84553062915802],[0.8468338251113892],[0.34965211153030396],[0.4294655919075012],[0.8133262991905212],[0.9347290396690369],[0.9261736869812012],[0.8725960850715637],[0.8980857729911804],[0.9242312908172607],[0.8971773982048035],[0.9258641004562378],[0.8432053327560425],[0.21251656115055084],[0.8690599203109741],[0.8472662568092346],[0.33875569701194763]
